location,date,vaccine,total_vaccinations
Luxembourg,2021-01-01,Pfizer/BioNTech,0
Luxembourg,2021-01-08,Pfizer/BioNTech,1285
Luxembourg,2021-01-15,Moderna,0
Luxembourg,2021-01-15,Pfizer/BioNTech,2778
Luxembourg,2021-01-22,Moderna,284
Luxembourg,2021-01-22,Pfizer/BioNTech,5091
Luxembourg,2021-01-29,Moderna,417
Luxembourg,2021-01-29,Pfizer/BioNTech,8292
Luxembourg,2021-02-05,Moderna,841
Luxembourg,2021-02-05,Oxford/AstraZeneca,0
Luxembourg,2021-02-05,Pfizer/BioNTech,11760
Luxembourg,2021-02-12,Moderna,1032
Luxembourg,2021-02-12,Oxford/AstraZeneca,1134
Luxembourg,2021-02-12,Pfizer/BioNTech,13904
Luxembourg,2021-02-19,Moderna,1322
Luxembourg,2021-02-19,Oxford/AstraZeneca,3433
Luxembourg,2021-02-19,Pfizer/BioNTech,17335
Luxembourg,2021-02-26,Moderna,1639
Luxembourg,2021-02-26,Oxford/AstraZeneca,4033
Luxembourg,2021-02-26,Pfizer/BioNTech,21611
Luxembourg,2021-03-05,Moderna,2109
Luxembourg,2021-03-05,Oxford/AstraZeneca,5187
Luxembourg,2021-03-05,Pfizer/BioNTech,27755
Luxembourg,2021-03-12,Moderna,2607
Luxembourg,2021-03-12,Oxford/AstraZeneca,6417
Luxembourg,2021-03-12,Pfizer/BioNTech,37820
Luxembourg,2021-03-19,Moderna,4096
Luxembourg,2021-03-19,Oxford/AstraZeneca,7428
Luxembourg,2021-03-19,Pfizer/BioNTech,50245
Luxembourg,2021-03-26,Moderna,4303
Luxembourg,2021-03-26,Oxford/AstraZeneca,15961
Luxembourg,2021-03-26,Pfizer/BioNTech,53078
Luxembourg,2021-04-02,Moderna,4701
Luxembourg,2021-04-02,Oxford/AstraZeneca,30384
Luxembourg,2021-04-02,Pfizer/BioNTech,57266
Luxembourg,2021-04-09,Moderna,7193
Luxembourg,2021-04-09,Oxford/AstraZeneca,32118
Luxembourg,2021-04-09,Pfizer/BioNTech,77362
Luxembourg,2021-04-16,Johnson&Johnson,2159
Luxembourg,2021-04-16,Moderna,11651
Luxembourg,2021-04-16,Oxford/AstraZeneca,33889
Luxembourg,2021-04-16,Pfizer/BioNTech,102488
Luxembourg,2021-04-23,Johnson&Johnson,2353
Luxembourg,2021-04-23,Moderna,12207
Luxembourg,2021-04-23,Oxford/AstraZeneca,34992
Luxembourg,2021-04-23,Pfizer/BioNTech,114783
Luxembourg,2021-04-30,Johnson&Johnson,2353
Luxembourg,2021-04-30,Moderna,14485
Luxembourg,2021-04-30,Oxford/AstraZeneca,37256
Luxembourg,2021-04-30,Pfizer/BioNTech,130706
Luxembourg,2021-05-07,Johnson&Johnson,5809
Luxembourg,2021-05-07,Moderna,17387
Luxembourg,2021-05-07,Oxford/AstraZeneca,48599
Luxembourg,2021-05-07,Pfizer/BioNTech,153034
Luxembourg,2021-05-14,Johnson&Johnson,7697
Luxembourg,2021-05-14,Moderna,23438
Luxembourg,2021-05-14,Oxford/AstraZeneca,53610
Luxembourg,2021-05-14,Pfizer/BioNTech,183217
Luxembourg,2021-05-21,Johnson&Johnson,10811
Luxembourg,2021-05-21,Moderna,29635
Luxembourg,2021-05-21,Oxford/AstraZeneca,56158
Luxembourg,2021-05-21,Pfizer/BioNTech,205925
Luxembourg,2021-05-28,Johnson&Johnson,11306
Luxembourg,2021-05-28,Moderna,33746
Luxembourg,2021-05-28,Oxford/AstraZeneca,57342
Luxembourg,2021-05-28,Pfizer/BioNTech,225488
Luxembourg,2021-06-04,Johnson&Johnson,12730
Luxembourg,2021-06-04,Moderna,34568
Luxembourg,2021-06-04,Oxford/AstraZeneca,69178
Luxembourg,2021-06-04,Pfizer/BioNTech,254725
Luxembourg,2021-06-11,Johnson&Johnson,16840
Luxembourg,2021-06-11,Moderna,37649
Luxembourg,2021-06-11,Oxford/AstraZeneca,83803
Luxembourg,2021-06-11,Pfizer/BioNTech,282261
Luxembourg,2021-06-18,Johnson&Johnson,17756
Luxembourg,2021-06-18,Moderna,43276
Luxembourg,2021-06-18,Oxford/AstraZeneca,85676
Luxembourg,2021-06-18,Pfizer/BioNTech,317220
Luxembourg,2021-06-25,Johnson&Johnson,26444
Luxembourg,2021-06-25,Moderna,48409
Luxembourg,2021-06-25,Oxford/AstraZeneca,87551
Luxembourg,2021-06-25,Pfizer/BioNTech,345030
Luxembourg,2021-07-02,Johnson&Johnson,27974
Luxembourg,2021-07-02,Moderna,54314
Luxembourg,2021-07-02,Oxford/AstraZeneca,98232
Luxembourg,2021-07-02,Pfizer/BioNTech,375658
Luxembourg,2021-07-09,Johnson&Johnson,28405
Luxembourg,2021-07-09,Moderna,56355
Luxembourg,2021-07-09,Oxford/AstraZeneca,102091
Luxembourg,2021-07-09,Pfizer/BioNTech,397817
Luxembourg,2021-07-16,Johnson&Johnson,30667
Luxembourg,2021-07-16,Moderna,57810
Luxembourg,2021-07-16,Oxford/AstraZeneca,102808
Luxembourg,2021-07-16,Pfizer/BioNTech,424313
