location,date,vaccine,total_vaccinations
Norway,2021-01-01,Pfizer/BioNTech,61
Norway,2021-01-08,Moderna,40
Norway,2021-01-08,Oxford/AstraZeneca,4
Norway,2021-01-08,Pfizer/BioNTech,23448
Norway,2021-01-15,Moderna,140
Norway,2021-01-15,Oxford/AstraZeneca,17
Norway,2021-01-15,Pfizer/BioNTech,52434
Norway,2021-01-22,Moderna,1900
Norway,2021-01-22,Oxford/AstraZeneca,46
Norway,2021-01-22,Pfizer/BioNTech,81304
Norway,2021-01-29,Moderna,2292
Norway,2021-01-29,Oxford/AstraZeneca,87
Norway,2021-01-29,Pfizer/BioNTech,130124
Norway,2021-02-05,Moderna,2454
Norway,2021-02-05,Oxford/AstraZeneca,197
Norway,2021-02-05,Pfizer/BioNTech,227741
Norway,2021-02-12,Moderna,12612
Norway,2021-02-12,Oxford/AstraZeneca,311
Norway,2021-02-12,Pfizer/BioNTech,303396
Norway,2021-02-19,Moderna,14931
Norway,2021-02-19,Oxford/AstraZeneca,20091
Norway,2021-02-19,Pfizer/BioNTech,371220
Norway,2021-02-26,Moderna,15385
Norway,2021-02-26,Oxford/AstraZeneca,55863
Norway,2021-02-26,Pfizer/BioNTech,441950
Norway,2021-03-05,Johnson&Johnson,31
Norway,2021-03-05,Moderna,21519
Norway,2021-03-05,Oxford/AstraZeneca,104954
Norway,2021-03-05,Pfizer/BioNTech,500082
Norway,2021-03-12,Johnson&Johnson,71
Norway,2021-03-12,Moderna,35688
Norway,2021-03-12,Oxford/AstraZeneca,138812
Norway,2021-03-12,Pfizer/BioNTech,555008
Norway,2021-03-19,Johnson&Johnson,130
Norway,2021-03-19,Moderna,41679
Norway,2021-03-19,Oxford/AstraZeneca,139402
Norway,2021-03-19,Pfizer/BioNTech,613435
Norway,2021-03-26,Johnson&Johnson,169
Norway,2021-03-26,Moderna,59623
Norway,2021-03-26,Oxford/AstraZeneca,139817
Norway,2021-03-26,Pfizer/BioNTech,717108
Norway,2021-04-02,Johnson&Johnson,243
Norway,2021-04-02,Moderna,79874
Norway,2021-04-02,Oxford/AstraZeneca,140115
Norway,2021-04-02,Pfizer/BioNTech,801690
Norway,2021-04-09,Johnson&Johnson,434
Norway,2021-04-09,Moderna,98584
Norway,2021-04-09,Oxford/AstraZeneca,140387
Norway,2021-04-09,Pfizer/BioNTech,962260
Norway,2021-04-16,Johnson&Johnson,456
Norway,2021-04-16,Moderna,139072
Norway,2021-04-16,Oxford/AstraZeneca,140700
Norway,2021-04-16,Pfizer/BioNTech,1122900
Norway,2021-04-23,Johnson&Johnson,463
Norway,2021-04-23,Moderna,155534
Norway,2021-04-23,Oxford/AstraZeneca,140983
Norway,2021-04-23,Pfizer/BioNTech,1271985
Norway,2021-04-30,Johnson&Johnson,527
Norway,2021-04-30,Moderna,166031
Norway,2021-04-30,Oxford/AstraZeneca,141272
Norway,2021-04-30,Pfizer/BioNTech,1487421
Norway,2021-05-07,Johnson&Johnson,607
Norway,2021-05-07,Moderna,181497
Norway,2021-05-07,Oxford/AstraZeneca,141635
Norway,2021-05-07,Pfizer/BioNTech,1684090
Norway,2021-05-14,Johnson&Johnson,750
Norway,2021-05-14,Moderna,213852
Norway,2021-05-14,Oxford/AstraZeneca,141951
Norway,2021-05-14,Pfizer/BioNTech,1852903
Norway,2021-05-21,Johnson&Johnson,909
Norway,2021-05-21,Moderna,235432
Norway,2021-05-21,Oxford/AstraZeneca,142350
Norway,2021-05-21,Pfizer/BioNTech,2059041
Norway,2021-05-28,Johnson&Johnson,1055
Norway,2021-05-28,Moderna,278713
Norway,2021-05-28,Oxford/AstraZeneca,142869
Norway,2021-05-28,Pfizer/BioNTech,2272114
Norway,2021-06-04,Johnson&Johnson,1284
Norway,2021-06-04,Moderna,327287
Norway,2021-06-04,Oxford/AstraZeneca,143273
Norway,2021-06-04,Pfizer/BioNTech,2572438
Norway,2021-06-11,Johnson&Johnson,1478
Norway,2021-06-11,Moderna,376526
Norway,2021-06-11,Oxford/AstraZeneca,143766
Norway,2021-06-11,Pfizer/BioNTech,2834638
Norway,2021-06-18,Johnson&Johnson,1868
Norway,2021-06-18,Moderna,411684
Norway,2021-06-18,Oxford/AstraZeneca,144123
Norway,2021-06-18,Pfizer/BioNTech,3114144
Norway,2021-06-25,Johnson&Johnson,2558
Norway,2021-06-25,Moderna,452778
Norway,2021-06-25,Oxford/AstraZeneca,144414
Norway,2021-06-25,Pfizer/BioNTech,3436082
Norway,2021-07-02,Johnson&Johnson,3168
Norway,2021-07-02,Moderna,492482
Norway,2021-07-02,Oxford/AstraZeneca,144658
Norway,2021-07-02,Pfizer/BioNTech,3768318
Norway,2021-07-09,Johnson&Johnson,3637
Norway,2021-07-09,Moderna,528524
Norway,2021-07-09,Oxford/AstraZeneca,144817
Norway,2021-07-09,Pfizer/BioNTech,4002792
Norway,2021-07-16,Johnson&Johnson,4003
Norway,2021-07-16,Moderna,548831
Norway,2021-07-16,Oxford/AstraZeneca,144952
Norway,2021-07-16,Pfizer/BioNTech,4205910
Norway,2021-07-23,Johnson&Johnson,4294
Norway,2021-07-23,Moderna,588122
