location,date,vaccine,total_vaccinations
Peru,2021-02-08,Pfizer/BioNTech,1
Peru,2021-02-08,Sinopharm/Beijing,5
Peru,2021-02-09,Sinopharm/Beijing,3850
Peru,2021-02-10,Sinopharm/Beijing,20424
Peru,2021-02-11,Pfizer/BioNTech,4
Peru,2021-02-11,Sinopharm/Beijing,54537
Peru,2021-02-12,Pfizer/BioNTech,6
Peru,2021-02-12,Sinopharm/Beijing,86904
Peru,2021-02-13,Pfizer/BioNTech,7
Peru,2021-02-13,Sinopharm/Beijing,105753
Peru,2021-02-14,Pfizer/BioNTech,78
Peru,2021-02-14,Sinopharm/Beijing,111033
Peru,2021-02-15,Pfizer/BioNTech,82
Peru,2021-02-15,Sinopharm/Beijing,122505
Peru,2021-02-16,Pfizer/BioNTech,102
Peru,2021-02-16,Sinopharm/Beijing,130021
Peru,2021-02-17,Pfizer/BioNTech,105
Peru,2021-02-17,Sinopharm/Beijing,133970
Peru,2021-02-18,Sinopharm/Beijing,141371
Peru,2021-02-19,Pfizer/BioNTech,106
Peru,2021-02-19,Sinopharm/Beijing,171887
Peru,2021-02-20,Pfizer/BioNTech,110
Peru,2021-02-20,Sinopharm/Beijing,198002
Peru,2021-02-21,Sinopharm/Beijing,202561
Peru,2021-02-22,Pfizer/BioNTech,118
Peru,2021-02-22,Sinopharm/Beijing,233053
Peru,2021-02-23,Pfizer/BioNTech,119
Peru,2021-02-23,Sinopharm/Beijing,260429
Peru,2021-02-24,Pfizer/BioNTech,143
Peru,2021-02-24,Sinopharm/Beijing,283331
Peru,2021-02-25,Sinopharm/Beijing,299200
Peru,2021-02-26,Sinopharm/Beijing,315120
Peru,2021-02-27,Pfizer/BioNTech,192
Peru,2021-02-27,Sinopharm/Beijing,321923
Peru,2021-02-28,Sinopharm/Beijing,322918
Peru,2021-03-01,Pfizer/BioNTech,202
Peru,2021-03-01,Sinopharm/Beijing,332209
Peru,2021-03-02,Pfizer/BioNTech,206
Peru,2021-03-02,Sinopharm/Beijing,341455
Peru,2021-03-03,Pfizer/BioNTech,237
Peru,2021-03-03,Sinopharm/Beijing,359898
Peru,2021-03-04,Pfizer/BioNTech,248
