location,date,vaccine,total_vaccinations
Poland,2021-01-01,Johnson&Johnson,0
Poland,2021-01-01,Moderna,0
Poland,2021-01-01,Oxford/AstraZeneca,0
Poland,2021-01-01,Pfizer/BioNTech,2215
Poland,2021-01-08,Johnson&Johnson,0
Poland,2021-01-08,Moderna,0
Poland,2021-01-08,Oxford/AstraZeneca,1
Poland,2021-01-08,Pfizer/BioNTech,213352
Poland,2021-01-15,Johnson&Johnson,0
Poland,2021-01-15,Moderna,1
Poland,2021-01-15,Oxford/AstraZeneca,3
Poland,2021-01-15,Pfizer/BioNTech,486364
Poland,2021-01-22,Johnson&Johnson,0
Poland,2021-01-22,Moderna,7
Poland,2021-01-22,Oxford/AstraZeneca,6
Poland,2021-01-22,Pfizer/BioNTech,729873
Poland,2021-01-29,Johnson&Johnson,0
Poland,2021-01-29,Moderna,4253
Poland,2021-01-29,Oxford/AstraZeneca,10
Poland,2021-01-29,Pfizer/BioNTech,1198749
Poland,2021-02-05,Johnson&Johnson,0
Poland,2021-02-05,Moderna,9053
Poland,2021-02-05,Oxford/AstraZeneca,14
Poland,2021-02-05,Pfizer/BioNTech,1689869
Poland,2021-02-12,Johnson&Johnson,0
Poland,2021-02-12,Moderna,22775
Poland,2021-02-12,Oxford/AstraZeneca,21515
Poland,2021-02-12,Pfizer/BioNTech,2131210
Poland,2021-02-19,Johnson&Johnson,0
Poland,2021-02-19,Moderna,71347
Poland,2021-02-19,Oxford/AstraZeneca,129379
Poland,2021-02-19,Pfizer/BioNTech,2571247
Poland,2021-02-26,Johnson&Johnson,0
Poland,2021-02-26,Moderna,130721
Poland,2021-02-26,Oxford/AstraZeneca,289387
Poland,2021-02-26,Pfizer/BioNTech,2970434
Poland,2021-03-05,Johnson&Johnson,0
Poland,2021-03-05,Moderna,202691
Poland,2021-03-05,Oxford/AstraZeneca,475523
Poland,2021-03-05,Pfizer/BioNTech,3349534
Poland,2021-03-12,Johnson&Johnson,0
Poland,2021-03-12,Moderna,247900
Poland,2021-03-12,Oxford/AstraZeneca,595485
Poland,2021-03-12,Pfizer/BioNTech,3726284
Poland,2021-03-19,Johnson&Johnson,8
Poland,2021-03-19,Moderna,294542
Poland,2021-03-19,Oxford/AstraZeneca,654576
Poland,2021-03-19,Pfizer/BioNTech,4113960
Poland,2021-03-26,Johnson&Johnson,8
Poland,2021-03-26,Moderna,376352
Poland,2021-03-26,Oxford/AstraZeneca,979483
Poland,2021-03-26,Pfizer/BioNTech,4577773
Poland,2021-04-02,Johnson&Johnson,40
Poland,2021-04-02,Moderna,442084
Poland,2021-04-02,Oxford/AstraZeneca,1277349
Poland,2021-04-02,Pfizer/BioNTech,5002988
Poland,2021-04-09,Johnson&Johnson,59
Poland,2021-04-09,Moderna,517294
Poland,2021-04-09,Oxford/AstraZeneca,1620475
Poland,2021-04-09,Pfizer/BioNTech,5616082
Poland,2021-04-16,Johnson&Johnson,23272
Poland,2021-04-16,Moderna,652613
Poland,2021-04-16,Oxford/AstraZeneca,1878751
Poland,2021-04-16,Pfizer/BioNTech,6398667
Poland,2021-04-23,Johnson&Johnson,76562
Poland,2021-04-23,Moderna,890861
Poland,2021-04-23,Oxford/AstraZeneca,2043732
Poland,2021-04-23,Pfizer/BioNTech,7367661
Poland,2021-04-30,Johnson&Johnson,125402
Poland,2021-04-30,Moderna,1067378
Poland,2021-04-30,Oxford/AstraZeneca,2173212
Poland,2021-04-30,Pfizer/BioNTech,8680095
Poland,2021-05-07,Johnson&Johnson,170166
Poland,2021-05-07,Moderna,1295356
Poland,2021-05-07,Oxford/AstraZeneca,2500225
Poland,2021-05-07,Pfizer/BioNTech,9906441
Poland,2021-05-14,Johnson&Johnson,275278
Poland,2021-05-14,Moderna,1519949
Poland,2021-05-14,Oxford/AstraZeneca,2844635
Poland,2021-05-14,Pfizer/BioNTech,11359069
Poland,2021-05-21,Johnson&Johnson,407587
Poland,2021-05-21,Moderna,1806458
Poland,2021-05-21,Oxford/AstraZeneca,3129716
Poland,2021-05-21,Pfizer/BioNTech,12660217
Poland,2021-05-28,Johnson&Johnson,595743
Poland,2021-05-28,Moderna,2083599
Poland,2021-05-28,Oxford/AstraZeneca,3346758
Poland,2021-05-28,Pfizer/BioNTech,13899321
Poland,2021-06-04,Johnson&Johnson,703351
Poland,2021-06-04,Moderna,2273907
Poland,2021-06-04,Oxford/AstraZeneca,3457796
Poland,2021-06-04,Pfizer/BioNTech,15665109
Poland,2021-06-11,Johnson&Johnson,784588
Poland,2021-06-11,Moderna,2500252
Poland,2021-06-11,Oxford/AstraZeneca,3827626
Poland,2021-06-11,Pfizer/BioNTech,17254093
Poland,2021-06-18,Johnson&Johnson,852989
Poland,2021-06-18,Moderna,2693032
Poland,2021-06-18,Oxford/AstraZeneca,4180825
Poland,2021-06-18,Pfizer/BioNTech,18568393
Poland,2021-06-25,Johnson&Johnson,918140
Poland,2021-06-25,Moderna,2870690
Poland,2021-06-25,Oxford/AstraZeneca,4596794
Poland,2021-06-25,Pfizer/BioNTech,19673794
Poland,2021-07-02,Johnson&Johnson,992930
Poland,2021-07-02,Moderna,2955926
Poland,2021-07-02,Oxford/AstraZeneca,4883146
Poland,2021-07-02,Pfizer/BioNTech,20629365
Poland,2021-07-09,Johnson&Johnson,1076930
Poland,2021-07-09,Moderna,2981076
Poland,2021-07-09,Oxford/AstraZeneca,5029831
Poland,2021-07-09,Pfizer/BioNTech,21713084
Poland,2021-07-16,Johnson&Johnson,1172449
Poland,2021-07-16,Moderna,2996389
Poland,2021-07-16,Oxford/AstraZeneca,5092047
Poland,2021-07-16,Pfizer/BioNTech,22660468
Poland,2021-07-23,Johnson&Johnson,1272456
Poland,2021-07-23,Moderna,3004865
Poland,2021-07-23,Oxford/AstraZeneca,5191500
Poland,2021-07-23,Pfizer/BioNTech,23256771
Poland,2021-07-30,Johnson&Johnson,1382235
Poland,2021-07-30,Moderna,3009813
Poland,2021-07-30,Oxford/AstraZeneca,5255141
Poland,2021-07-30,Pfizer/BioNTech,23684692
Poland,2021-08-06,Johnson&Johnson,1482046
Poland,2021-08-06,Moderna,3014060
Poland,2021-08-06,Oxford/AstraZeneca,5264580
Poland,2021-08-06,Pfizer/BioNTech,24034055
Poland,2021-08-13,Johnson&Johnson,1580941
Poland,2021-08-13,Moderna,3017463
Poland,2021-08-13,Oxford/AstraZeneca,5269164
Poland,2021-08-13,Pfizer/BioNTech,24294748
Poland,2021-08-20,Johnson&Johnson,1665222
Poland,2021-08-20,Moderna,3020843
Poland,2021-08-20,Oxford/AstraZeneca,5271983
Poland,2021-08-20,Pfizer/BioNTech,24530353
Poland,2021-08-27,Johnson&Johnson,1748332
Poland,2021-08-27,Moderna,3023296
Poland,2021-08-27,Oxford/AstraZeneca,5274165
Poland,2021-08-27,Pfizer/BioNTech,24745065
Poland,2021-09-03,Johnson&Johnson,1812335
Poland,2021-09-03,Moderna,3025647
Poland,2021-09-03,Oxford/AstraZeneca,5275960
Poland,2021-09-03,Pfizer/BioNTech,24923455
Poland,2021-09-10,Johnson&Johnson,1864785
Poland,2021-09-10,Moderna,3027713
Poland,2021-09-10,Oxford/AstraZeneca,5277141
Poland,2021-09-10,Pfizer/BioNTech,25071699
Poland,2021-09-17,Johnson&Johnson,1912137
Poland,2021-09-17,Moderna,3029752
Poland,2021-09-17,Oxford/AstraZeneca,5278299
Poland,2021-09-17,Pfizer/BioNTech,25202950
Poland,2021-09-24,Johnson&Johnson,1961404
Poland,2021-09-24,Moderna,3032063
Poland,2021-09-24,Oxford/AstraZeneca,5279416
Poland,2021-09-24,Pfizer/BioNTech,25356713
Poland,2021-10-01,Johnson&Johnson,1999530
Poland,2021-10-01,Moderna,3034432
Poland,2021-10-01,Oxford/AstraZeneca,5280187
Poland,2021-10-01,Pfizer/BioNTech,25671999
Poland,2021-10-08,Johnson&Johnson,2026142
Poland,2021-10-08,Moderna,3035799
Poland,2021-10-08,Oxford/AstraZeneca,5280656
Poland,2021-10-08,Pfizer/BioNTech,25949965
