location,date,vaccine,total_vaccinations
Portugal,2021-01-01,Moderna,4
Portugal,2021-01-01,Pfizer/BioNTech,5121
Portugal,2021-01-08,Johnson&Johnson,16
Portugal,2021-01-08,Moderna,58
Portugal,2021-01-08,Oxford/AstraZeneca,37
Portugal,2021-01-08,Pfizer/BioNTech,85158
Portugal,2021-01-15,Johnson&Johnson,18
Portugal,2021-01-15,Moderna,1605
Portugal,2021-01-15,Oxford/AstraZeneca,128
Portugal,2021-01-15,Pfizer/BioNTech,134998
Portugal,2021-01-22,Johnson&Johnson,20
Portugal,2021-01-22,Moderna,3236
Portugal,2021-01-22,Oxford/AstraZeneca,286
Portugal,2021-01-22,Pfizer/BioNTech,288718
Portugal,2021-01-29,Johnson&Johnson,23
Portugal,2021-01-29,Moderna,3849
Portugal,2021-01-29,Oxford/AstraZeneca,486
Portugal,2021-01-29,Pfizer/BioNTech,376175
Portugal,2021-02-05,Johnson&Johnson,33
Portugal,2021-02-05,Moderna,11054
Portugal,2021-02-05,Oxford/AstraZeneca,758
Portugal,2021-02-05,Pfizer/BioNTech,430689
Portugal,2021-02-12,Johnson&Johnson,35
Portugal,2021-02-12,Moderna,14149
Portugal,2021-02-12,Oxford/AstraZeneca,10530
Portugal,2021-02-12,Pfizer/BioNTech,558666
Portugal,2021-02-19,Johnson&Johnson,37
Portugal,2021-02-19,Moderna,25839
Portugal,2021-02-19,Oxford/AstraZeneca,52775
Portugal,2021-02-19,Pfizer/BioNTech,659232
Portugal,2021-02-26,Johnson&Johnson,38
Portugal,2021-02-26,Moderna,30017
Portugal,2021-02-26,Oxford/AstraZeneca,114382
Portugal,2021-02-26,Pfizer/BioNTech,791862
Portugal,2021-03-05,Johnson&Johnson,72
Portugal,2021-03-05,Moderna,58240
Portugal,2021-03-05,Oxford/AstraZeneca,154406
Portugal,2021-03-05,Pfizer/BioNTech,897410
Portugal,2021-03-12,Johnson&Johnson,134
Portugal,2021-03-12,Moderna,62872
Portugal,2021-03-12,Oxford/AstraZeneca,207831
Portugal,2021-03-12,Pfizer/BioNTech,988719
Portugal,2021-03-19,Johnson&Johnson,181
Portugal,2021-03-19,Moderna,89508
Portugal,2021-03-19,Oxford/AstraZeneca,232292
Portugal,2021-03-19,Pfizer/BioNTech,1131226
Portugal,2021-03-26,Johnson&Johnson,220
Portugal,2021-03-26,Moderna,101640
Portugal,2021-03-26,Oxford/AstraZeneca,349147
Portugal,2021-03-26,Pfizer/BioNTech,1283153
Portugal,2021-04-02,Johnson&Johnson,299
Portugal,2021-04-02,Moderna,133190
Portugal,2021-04-02,Oxford/AstraZeneca,402563
Portugal,2021-04-02,Pfizer/BioNTech,1422568
Portugal,2021-04-09,Johnson&Johnson,456
Portugal,2021-04-09,Moderna,171456
Portugal,2021-04-09,Oxford/AstraZeneca,455828
Portugal,2021-04-09,Pfizer/BioNTech,1642798
Portugal,2021-04-16,Johnson&Johnson,503
Portugal,2021-04-16,Moderna,202542
Portugal,2021-04-16,Oxford/AstraZeneca,623075
Portugal,2021-04-16,Pfizer/BioNTech,1926391
Portugal,2021-04-23,Johnson&Johnson,515
Portugal,2021-04-23,Moderna,220209
Portugal,2021-04-23,Oxford/AstraZeneca,702617
Portugal,2021-04-23,Pfizer/BioNTech,2181234
Portugal,2021-04-30,Johnson&Johnson,1927
Portugal,2021-04-30,Moderna,249385
Portugal,2021-04-30,Oxford/AstraZeneca,810773
Portugal,2021-04-30,Pfizer/BioNTech,2480423
Portugal,2021-05-07,Johnson&Johnson,14470
Portugal,2021-05-07,Moderna,306177
Portugal,2021-05-07,Oxford/AstraZeneca,957711
Portugal,2021-05-07,Pfizer/BioNTech,2857270
