location,date,vaccine,total_vaccinations
Slovakia,2021-01-01,Pfizer/BioNTech,0
Slovakia,2021-01-08,Pfizer/BioNTech,29872
Slovakia,2021-01-15,Moderna,0
Slovakia,2021-01-15,Pfizer/BioNTech,63102
Slovakia,2021-01-22,Pfizer/BioNTech,100820
Slovakia,2021-01-29,Moderna,71
Slovakia,2021-01-29,Pfizer/BioNTech,147748
Slovakia,2021-02-05,Moderna,1660
Slovakia,2021-02-05,Oxford/AstraZeneca,0
Slovakia,2021-02-05,Pfizer/BioNTech,214487
Slovakia,2021-02-12,Moderna,6482
Slovakia,2021-02-12,Oxford/AstraZeneca,12801
Slovakia,2021-02-12,Pfizer/BioNTech,278702
Slovakia,2021-02-19,Moderna,18209
Slovakia,2021-02-19,Oxford/AstraZeneca,27141
Slovakia,2021-02-19,Pfizer/BioNTech,324818
Slovakia,2021-02-26,Moderna,22477
Slovakia,2021-02-26,Oxford/AstraZeneca,47970
Slovakia,2021-02-26,Pfizer/BioNTech,376326
Slovakia,2021-03-05,Moderna,24578
Slovakia,2021-03-05,Oxford/AstraZeneca,89730
Slovakia,2021-03-05,Pfizer/BioNTech,429633
Slovakia,2021-03-05,Sputnik V,0
Slovakia,2021-03-12,Moderna,29509
Slovakia,2021-03-12,Oxford/AstraZeneca,132664
Slovakia,2021-03-12,Pfizer/BioNTech,487144
Slovakia,2021-03-19,Moderna,41378
Slovakia,2021-03-19,Oxford/AstraZeneca,179279
Slovakia,2021-03-19,Pfizer/BioNTech,560659
Slovakia,2021-03-26,Moderna,55859
Slovakia,2021-03-26,Oxford/AstraZeneca,216765
Slovakia,2021-03-26,Pfizer/BioNTech,639644
Slovakia,2021-04-02,Moderna,66932
Slovakia,2021-04-02,Oxford/AstraZeneca,245174
Slovakia,2021-04-02,Pfizer/BioNTech,705553
Slovakia,2021-04-09,Moderna,79213
Slovakia,2021-04-09,Oxford/AstraZeneca,295595
Slovakia,2021-04-09,Pfizer/BioNTech,778135
Slovakia,2021-04-16,Johnson&Johnson,0
Slovakia,2021-04-16,Moderna,98062
Slovakia,2021-04-16,Oxford/AstraZeneca,347654
Slovakia,2021-04-16,Pfizer/BioNTech,861935
Slovakia,2021-04-23,Moderna,119768
Slovakia,2021-04-23,Oxford/AstraZeneca,392332
Slovakia,2021-04-23,Pfizer/BioNTech,946908
Slovakia,2021-04-30,Johnson&Johnson,0
Slovakia,2021-04-30,Moderna,141776
Slovakia,2021-04-30,Oxford/AstraZeneca,427436
Slovakia,2021-04-30,Pfizer/BioNTech,1058184
Slovakia,2021-05-07,Moderna,169514
Slovakia,2021-05-07,Oxford/AstraZeneca,461981
Slovakia,2021-05-07,Pfizer/BioNTech,1194880
Slovakia,2021-05-14,Johnson&Johnson,0
Slovakia,2021-05-14,Moderna,199524
Slovakia,2021-05-14,Oxford/AstraZeneca,501712
Slovakia,2021-05-14,Pfizer/BioNTech,1359595
Slovakia,2021-05-21,Johnson&Johnson,0
Slovakia,2021-05-21,Moderna,232185
Slovakia,2021-05-21,Oxford/AstraZeneca,548223
Slovakia,2021-05-21,Pfizer/BioNTech,1528348
Slovakia,2021-05-28,Johnson&Johnson,0
Slovakia,2021-05-28,Moderna,260308
Slovakia,2021-05-28,Oxford/AstraZeneca,588712
Slovakia,2021-05-28,Pfizer/BioNTech,1708226
Slovakia,2021-06-04,Johnson&Johnson,0
Slovakia,2021-06-04,Moderna,288128
Slovakia,2021-06-04,Oxford/AstraZeneca,629455
Slovakia,2021-06-04,Pfizer/BioNTech,1879452
Slovakia,2021-06-11,Johnson&Johnson,0
Slovakia,2021-06-11,Moderna,314507
Slovakia,2021-06-11,Oxford/AstraZeneca,660757
Slovakia,2021-06-11,Pfizer/BioNTech,2057737
Slovakia,2021-06-11,Sputnik V,4131
Slovakia,2021-06-18,Johnson&Johnson,121
Slovakia,2021-06-18,Moderna,341022
Slovakia,2021-06-18,Oxford/AstraZeneca,706761
Slovakia,2021-06-18,Pfizer/BioNTech,2227556
Slovakia,2021-06-18,Sputnik V,7876
Slovakia,2021-06-25,Johnson&Johnson,232
Slovakia,2021-06-25,Moderna,364249
Slovakia,2021-06-25,Oxford/AstraZeneca,754872
Slovakia,2021-06-25,Pfizer/BioNTech,2387935
Slovakia,2021-06-25,Sputnik V,11531
Slovakia,2021-07-02,Johnson&Johnson,5328
Slovakia,2021-07-02,Moderna,385686
Slovakia,2021-07-02,Oxford/AstraZeneca,788596
Slovakia,2021-07-02,Pfizer/BioNTech,2532693
Slovakia,2021-07-02,Sputnik V,17554
Slovakia,2021-07-09,Johnson&Johnson,13846
Slovakia,2021-07-09,Moderna,402566
Slovakia,2021-07-09,Oxford/AstraZeneca,817700
Slovakia,2021-07-09,Pfizer/BioNTech,2640521
Slovakia,2021-07-09,Sputnik V,23796
Slovakia,2021-07-16,Johnson&Johnson,23021
Slovakia,2021-07-16,Moderna,418966
Slovakia,2021-07-16,Oxford/AstraZeneca,833237
Slovakia,2021-07-16,Pfizer/BioNTech,2726749
Slovakia,2021-07-16,Sputnik V,27948
Slovakia,2021-07-23,Johnson&Johnson,29139
Slovakia,2021-07-23,Moderna,431334
Slovakia,2021-07-23,Oxford/AstraZeneca,838948
Slovakia,2021-07-23,Pfizer/BioNTech,2785337
Slovakia,2021-07-23,Sputnik V,30646
Slovakia,2021-07-30,Johnson&Johnson,34573
Slovakia,2021-07-30,Moderna,443580
Slovakia,2021-07-30,Oxford/AstraZeneca,840539
Slovakia,2021-07-30,Pfizer/BioNTech,2846961
Slovakia,2021-07-30,Sputnik V,34400
Slovakia,2021-08-06,Johnson&Johnson,42392
Slovakia,2021-08-06,Moderna,452548
Slovakia,2021-08-06,Oxford/AstraZeneca,841072
Slovakia,2021-08-06,Pfizer/BioNTech,2910146
Slovakia,2021-08-06,Sputnik V,35367
Slovakia,2021-08-13,Johnson&Johnson,50276
Slovakia,2021-08-13,Moderna,459043
Slovakia,2021-08-13,Oxford/AstraZeneca,841479
Slovakia,2021-08-13,Pfizer/BioNTech,2963879
Slovakia,2021-08-13,Sputnik V,36455
Slovakia,2021-08-20,Johnson&Johnson,59217
Slovakia,2021-08-20,Moderna,464950
Slovakia,2021-08-20,Oxford/AstraZeneca,841550
Slovakia,2021-08-20,Pfizer/BioNTech,3003714
Slovakia,2021-08-20,Sputnik V,37555
Slovakia,2021-08-27,Johnson&Johnson,65181
Slovakia,2021-08-27,Moderna,469289
Slovakia,2021-08-27,Oxford/AstraZeneca,841669
Slovakia,2021-08-27,Pfizer/BioNTech,3038327
Slovakia,2021-08-27,Sputnik V,37678
Slovakia,2021-09-03,Johnson&Johnson,69772
Slovakia,2021-09-03,Moderna,472850
Slovakia,2021-09-03,Oxford/AstraZeneca,841740
Slovakia,2021-09-03,Pfizer/BioNTech,3065646
Slovakia,2021-09-03,Sputnik V,37683
Slovakia,2021-09-10,Johnson&Johnson,72740
Slovakia,2021-09-10,Moderna,475646
Slovakia,2021-09-10,Oxford/AstraZeneca,841741
Slovakia,2021-09-10,Pfizer/BioNTech,3092877
Slovakia,2021-09-17,Johnson&Johnson,77140
Slovakia,2021-09-17,Moderna,478285
Slovakia,2021-09-17,Oxford/AstraZeneca,841762
Slovakia,2021-09-17,Pfizer/BioNTech,3116865
Slovakia,2021-09-24,Johnson&Johnson,81874
Slovakia,2021-09-24,Moderna,480705
Slovakia,2021-09-24,Oxford/AstraZeneca,841796
Slovakia,2021-09-24,Pfizer/BioNTech,3142046
Slovakia,2021-10-01,Johnson&Johnson,86873
Slovakia,2021-10-01,Moderna,482294
Slovakia,2021-10-01,Oxford/AstraZeneca,841892
Slovakia,2021-10-01,Pfizer/BioNTech,3161516
Slovakia,2021-10-08,Johnson&Johnson,90670
Slovakia,2021-10-08,Moderna,483655
Slovakia,2021-10-08,Oxford/AstraZeneca,841910
Slovakia,2021-10-08,Pfizer/BioNTech,3178272
Slovakia,2021-10-15,Johnson&Johnson,93492
Slovakia,2021-10-15,Moderna,485045
Slovakia,2021-10-15,Oxford/AstraZeneca,841912
Slovakia,2021-10-15,Pfizer/BioNTech,3193834
Slovakia,2021-10-22,Johnson&Johnson,96672
Slovakia,2021-10-22,Moderna,486927
Slovakia,2021-10-22,Oxford/AstraZeneca,841916
Slovakia,2021-10-22,Pfizer/BioNTech,3227253
Slovakia,2021-10-29,Johnson&Johnson,100354
Slovakia,2021-10-29,Moderna,490877
Slovakia,2021-10-29,Pfizer/BioNTech,3276399
