location,date,vaccine,total_vaccinations
Slovenia,2021-01-01,Pfizer/BioNTech,6200
Slovenia,2021-01-08,Pfizer/BioNTech,30621
Slovenia,2021-01-15,Pfizer/BioNTech,49691
Slovenia,2021-01-22,Moderna,516
Slovenia,2021-01-22,Pfizer/BioNTech,64400
Slovenia,2021-01-29,Moderna,519
Slovenia,2021-01-29,Pfizer/BioNTech,82401
Slovenia,2021-02-05,Moderna,950
Slovenia,2021-02-05,Pfizer/BioNTech,101768
Slovenia,2021-02-12,Moderna,3827
Slovenia,2021-02-12,Oxford/AstraZeneca,2202
Slovenia,2021-02-12,Pfizer/BioNTech,118880
Slovenia,2021-02-19,Moderna,4569
Slovenia,2021-02-19,Oxford/AstraZeneca,6232
Slovenia,2021-02-19,Pfizer/BioNTech,139323
Slovenia,2021-02-26,Moderna,4884
Slovenia,2021-02-26,Oxford/AstraZeneca,13998
Slovenia,2021-02-26,Pfizer/BioNTech,159980
Slovenia,2021-03-05,Moderna,9079
Slovenia,2021-03-05,Oxford/AstraZeneca,24837
Slovenia,2021-03-05,Pfizer/BioNTech,179492
Slovenia,2021-03-12,Moderna,11997
Slovenia,2021-03-12,Oxford/AstraZeneca,52726
Slovenia,2021-03-12,Pfizer/BioNTech,200998
Slovenia,2021-03-19,Moderna,17909
Slovenia,2021-03-19,Oxford/AstraZeneca,56036
Slovenia,2021-03-19,Pfizer/BioNTech,222492
Slovenia,2021-03-26,Moderna,20910
Slovenia,2021-03-26,Oxford/AstraZeneca,78440
Slovenia,2021-03-26,Pfizer/BioNTech,251734
Slovenia,2021-04-02,Moderna,38881
Slovenia,2021-04-02,Oxford/AstraZeneca,90864
Slovenia,2021-04-02,Pfizer/BioNTech,281754
Slovenia,2021-04-09,Moderna,42019
Slovenia,2021-04-09,Oxford/AstraZeneca,102397
Slovenia,2021-04-09,Pfizer/BioNTech,322597
Slovenia,2021-04-16,Moderna,53243
Slovenia,2021-04-16,Oxford/AstraZeneca,108182
Slovenia,2021-04-16,Pfizer/BioNTech,364154
Slovenia,2021-04-23,Moderna,59901
Slovenia,2021-04-23,Oxford/AstraZeneca,127834
Slovenia,2021-04-23,Pfizer/BioNTech,405453
Slovenia,2021-04-30,Johnson&Johnson,72
Slovenia,2021-04-30,Moderna,69384
Slovenia,2021-04-30,Oxford/AstraZeneca,131470
Slovenia,2021-04-30,Pfizer/BioNTech,452340
Slovenia,2021-05-07,Johnson&Johnson,1652
Slovenia,2021-05-07,Moderna,78728
Slovenia,2021-05-07,Oxford/AstraZeneca,142983
Slovenia,2021-05-07,Pfizer/BioNTech,527315
Slovenia,2021-05-14,Johnson&Johnson,9897
Slovenia,2021-05-14,Moderna,86889
Slovenia,2021-05-14,Oxford/AstraZeneca,164578
Slovenia,2021-05-14,Pfizer/BioNTech,587449
Slovenia,2021-05-21,Johnson&Johnson,16024
Slovenia,2021-05-21,Moderna,106483
Slovenia,2021-05-21,Oxford/AstraZeneca,194331
Slovenia,2021-05-21,Pfizer/BioNTech,645103
Slovenia,2021-05-28,Johnson&Johnson,20973
Slovenia,2021-05-28,Moderna,117303
Slovenia,2021-05-28,Oxford/AstraZeneca,218569
Slovenia,2021-05-28,Pfizer/BioNTech,703211
Slovenia,2021-06-04,Johnson&Johnson,32922
Slovenia,2021-06-04,Moderna,125017
Slovenia,2021-06-04,Oxford/AstraZeneca,245941
Slovenia,2021-06-04,Pfizer/BioNTech,788640
Slovenia,2021-06-11,Johnson&Johnson,38146
Slovenia,2021-06-11,Moderna,132803
Slovenia,2021-06-11,Oxford/AstraZeneca,269294
Slovenia,2021-06-11,Pfizer/BioNTech,866577
Slovenia,2021-06-18,Johnson&Johnson,43803
Slovenia,2021-06-18,Moderna,147699
Slovenia,2021-06-18,Oxford/AstraZeneca,283120
Slovenia,2021-06-18,Pfizer/BioNTech,901133
Slovenia,2021-06-25,Johnson&Johnson,47017
Slovenia,2021-06-25,Moderna,158046
Slovenia,2021-06-25,Oxford/AstraZeneca,291791
Slovenia,2021-06-25,Pfizer/BioNTech,942587
Slovenia,2021-07-02,Johnson&Johnson,50246
Slovenia,2021-07-02,Moderna,164874
Slovenia,2021-07-02,Oxford/AstraZeneca,303025
Slovenia,2021-07-02,Pfizer/BioNTech,987383
Slovenia,2021-07-09,Johnson&Johnson,55239
Slovenia,2021-07-09,Moderna,171798
Slovenia,2021-07-09,Oxford/AstraZeneca,310561
Slovenia,2021-07-09,Pfizer/BioNTech,1020952
Slovenia,2021-07-16,Johnson&Johnson,63921
Slovenia,2021-07-16,Moderna,176491
Slovenia,2021-07-16,Oxford/AstraZeneca,315440
Slovenia,2021-07-16,Pfizer/BioNTech,1049625
Slovenia,2021-07-23,Johnson&Johnson,72384
Slovenia,2021-07-23,Moderna,178506
Slovenia,2021-07-23,Oxford/AstraZeneca,318597
Slovenia,2021-07-23,Pfizer/BioNTech,1075413
Slovenia,2021-07-30,Johnson&Johnson,79609
Slovenia,2021-07-30,Moderna,180160
Slovenia,2021-07-30,Oxford/AstraZeneca,321273
Slovenia,2021-07-30,Pfizer/BioNTech,1101842
Slovenia,2021-08-06,Johnson&Johnson,84524
Slovenia,2021-08-06,Moderna,181851
Slovenia,2021-08-06,Oxford/AstraZeneca,322850
Slovenia,2021-08-06,Pfizer/BioNTech,1128521
Slovenia,2021-08-13,Johnson&Johnson,88639
Slovenia,2021-08-13,Moderna,183092
Slovenia,2021-08-13,Oxford/AstraZeneca,323753
Slovenia,2021-08-13,Pfizer/BioNTech,1152784
Slovenia,2021-08-20,Johnson&Johnson,93225
Slovenia,2021-08-20,Moderna,184588
Slovenia,2021-08-20,Oxford/AstraZeneca,324439
Slovenia,2021-08-20,Pfizer/BioNTech,1179133
Slovenia,2021-08-27,Johnson&Johnson,97386
Slovenia,2021-08-27,Moderna,185731
Slovenia,2021-08-27,Oxford/AstraZeneca,324897
Slovenia,2021-08-27,Pfizer/BioNTech,1204916
Slovenia,2021-09-03,Johnson&Johnson,100969
Slovenia,2021-09-03,Moderna,186767
Slovenia,2021-09-03,Oxford/AstraZeneca,325626
Slovenia,2021-09-03,Pfizer/BioNTech,1225927
Slovenia,2021-09-10,Johnson&Johnson,107494
Slovenia,2021-09-10,Moderna,187868
Slovenia,2021-09-10,Oxford/AstraZeneca,325984
Slovenia,2021-09-10,Pfizer/BioNTech,1256271
Slovenia,2021-09-17,Johnson&Johnson,125708
Slovenia,2021-09-17,Moderna,190182
Slovenia,2021-09-17,Oxford/AstraZeneca,326397
Slovenia,2021-09-17,Pfizer/BioNTech,1320097
Slovenia,2021-09-24,Johnson&Johnson,133539
Slovenia,2021-09-24,Moderna,191788
