date,vaccine,total_vaccinations,location
2021-02-26,Johnson&Johnson,34,South Korea
2021-02-26,Moderna,10418,South Korea
2021-02-26,Oxford/AstraZeneca,26794,South Korea
2021-02-26,Pfizer/BioNTech,6139,South Korea
2021-02-27,Johnson&Johnson,36,South Korea
2021-02-27,Moderna,10571,South Korea
2021-02-27,Oxford/AstraZeneca,27965,South Korea
2021-02-27,Pfizer/BioNTech,6639,South Korea
2021-02-28,Johnson&Johnson,36,South Korea
2021-02-28,Moderna,10631,South Korea
2021-02-28,Oxford/AstraZeneca,28563,South Korea
2021-02-28,Pfizer/BioNTech,7036,South Korea
2021-03-01,Johnson&Johnson,40,South Korea
2021-03-01,Moderna,10799,South Korea
2021-03-01,Oxford/AstraZeneca,29926,South Korea
2021-03-01,Pfizer/BioNTech,7530,South Korea
2021-03-02,Johnson&Johnson,43,South Korea
2021-03-02,Moderna,11020,South Korea
2021-03-02,Oxford/AstraZeneca,95156,South Korea
2021-03-02,Pfizer/BioNTech,8389,South Korea
2021-03-03,Johnson&Johnson,47,South Korea
2021-03-03,Moderna,11222,South Korea
2021-03-03,Oxford/AstraZeneca,162948,South Korea
2021-03-03,Pfizer/BioNTech,9850,South Korea
2021-03-04,Johnson&Johnson,54,South Korea
2021-03-04,Moderna,11640,South Korea
2021-03-04,Oxford/AstraZeneca,232047,South Korea
2021-03-04,Pfizer/BioNTech,11306,South Korea
2021-03-05,Johnson&Johnson,62,South Korea
2021-03-05,Moderna,12086,South Korea
2021-03-05,Oxford/AstraZeneca,301238,South Korea
2021-03-05,Pfizer/BioNTech,12963,South Korea
2021-03-06,Johnson&Johnson,79,South Korea
2021-03-06,Moderna,12213,South Korea
2021-03-06,Oxford/AstraZeneca,319364,South Korea
2021-03-06,Pfizer/BioNTech,13160,South Korea
2021-03-07,Johnson&Johnson,95,South Korea
2021-03-07,Moderna,12279,South Korea
2021-03-07,Oxford/AstraZeneca,321520,South Korea
2021-03-07,Pfizer/BioNTech,13305,South Korea
2021-03-08,Johnson&Johnson,114,South Korea
2021-03-08,Moderna,12584,South Korea
2021-03-08,Oxford/AstraZeneca,387889,South Korea
2021-03-08,Pfizer/BioNTech,14742,South Korea
2021-03-09,Johnson&Johnson,129,South Korea
2021-03-09,Moderna,12988,South Korea
2021-03-09,Oxford/AstraZeneca,449407,South Korea
2021-03-09,Pfizer/BioNTech,17187,South Korea
2021-03-10,Johnson&Johnson,387,South Korea
2021-03-10,Moderna,13198,South Korea
2021-03-10,Oxford/AstraZeneca,498701,South Korea
2021-03-10,Pfizer/BioNTech,22441,South Korea
2021-03-11,Johnson&Johnson,597,South Korea
2021-03-11,Moderna,13497,South Korea
2021-03-11,Oxford/AstraZeneca,536235,South Korea
2021-03-11,Pfizer/BioNTech,29943,South Korea
2021-03-12,Johnson&Johnson,826,South Korea
2021-03-12,Moderna,13768,South Korea
2021-03-12,Oxford/AstraZeneca,568308,South Korea
2021-03-12,Pfizer/BioNTech,36552,South Korea
2021-03-13,Johnson&Johnson,875,South Korea
2021-03-13,Moderna,13893,South Korea
2021-03-13,Oxford/AstraZeneca,571799,South Korea
2021-03-13,Pfizer/BioNTech,37309,South Korea
2021-03-14,Johnson&Johnson,918,South Korea
2021-03-14,Moderna,13969,South Korea
2021-03-14,Oxford/AstraZeneca,573124,South Korea
2021-03-14,Pfizer/BioNTech,37531,South Korea
2021-03-15,Johnson&Johnson,1802,South Korea
2021-03-15,Moderna,14135,South Korea
2021-03-15,Oxford/AstraZeneca,585347,South Korea
2021-03-15,Pfizer/BioNTech,38452,South Korea
2021-03-16,Johnson&Johnson,2469,South Korea
2021-03-16,Moderna,14389,South Korea
2021-03-16,Oxford/AstraZeneca,597863,South Korea
2021-03-16,Pfizer/BioNTech,45497,South Korea
2021-03-17,Johnson&Johnson,3060,South Korea
2021-03-17,Moderna,14647,South Korea
2021-03-17,Oxford/AstraZeneca,607952,South Korea
2021-03-17,Pfizer/BioNTech,55925,South Korea
2021-03-18,Johnson&Johnson,3416,South Korea
2021-03-18,Moderna,15013,South Korea
2021-03-18,Oxford/AstraZeneca,618573,South Korea
2021-03-18,Pfizer/BioNTech,65408,South Korea
2021-03-19,Johnson&Johnson,3955,South Korea
2021-03-19,Moderna,15311,South Korea
2021-03-19,Oxford/AstraZeneca,629594,South Korea
2021-03-19,Pfizer/BioNTech,72056,South Korea
2021-03-20,Johnson&Johnson,3977,South Korea
2021-03-20,Moderna,15477,South Korea
2021-03-20,Oxford/AstraZeneca,629998,South Korea
2021-03-20,Pfizer/BioNTech,73704,South Korea
2021-03-21,Johnson&Johnson,3992,South Korea
2021-03-21,Moderna,15563,South Korea
2021-03-21,Oxford/AstraZeneca,630268,South Korea
2021-03-21,Pfizer/BioNTech,74301,South Korea
2021-03-22,Johnson&Johnson,4134,South Korea
2021-03-22,Moderna,15776,South Korea
2021-03-22,Oxford/AstraZeneca,634259,South Korea
2021-03-22,Pfizer/BioNTech,75057,South Korea
2021-03-23,Johnson&Johnson,4337,South Korea
2021-03-23,Moderna,16043,South Korea
2021-03-23,Oxford/AstraZeneca,654968,South Korea
2021-03-23,Pfizer/BioNTech,76158,South Korea
2021-03-24,Johnson&Johnson,4358,South Korea
2021-03-24,Moderna,16352,South Korea
2021-03-24,Oxford/AstraZeneca,683490,South Korea
2021-03-24,Pfizer/BioNTech,77943,South Korea
2021-03-25,Johnson&Johnson,4626,South Korea
2021-03-25,Moderna,16737,South Korea
2021-03-25,Oxford/AstraZeneca,716073,South Korea
2021-03-25,Pfizer/BioNTech,79730,South Korea
2021-03-26,Johnson&Johnson,4872,South Korea
2021-03-26,Moderna,17061,South Korea
2021-03-26,Oxford/AstraZeneca,740551,South Korea
2021-03-26,Pfizer/BioNTech,81874,South Korea
2021-03-27,Johnson&Johnson,4893,South Korea
2021-03-27,Moderna,17300,South Korea
2021-03-27,Oxford/AstraZeneca,742272,South Korea
2021-03-27,Pfizer/BioNTech,82359,South Korea
2021-03-28,Johnson&Johnson,4900,South Korea
2021-03-28,Moderna,17434,South Korea
2021-03-28,Oxford/AstraZeneca,742621,South Korea
2021-03-28,Pfizer/BioNTech,82677,South Korea
2021-03-29,Johnson&Johnson,4919,South Korea
2021-03-29,Moderna,17699,South Korea
2021-03-29,Oxford/AstraZeneca,768640,South Korea
2021-03-29,Pfizer/BioNTech,84200,South Korea
2021-03-30,Johnson&Johnson,4955,South Korea
2021-03-30,Moderna,18135,South Korea
2021-03-30,Oxford/AstraZeneca,796508,South Korea
2021-03-30,Pfizer/BioNTech,86965,South Korea
2021-03-31,Johnson&Johnson,4998,South Korea
2021-03-31,Moderna,18515,South Korea
2021-03-31,Oxford/AstraZeneca,819268,South Korea
2021-03-31,Pfizer/BioNTech,92586,South Korea
2021-04-01,Johnson&Johnson,5097,South Korea
2021-04-01,Moderna,18973,South Korea
2021-04-01,Oxford/AstraZeneca,837055,South Korea
2021-04-01,Pfizer/BioNTech,119567,South Korea
2021-04-02,Johnson&Johnson,5641,South Korea
2021-04-02,Moderna,19350,South Korea
2021-04-02,Oxford/AstraZeneca,856268,South Korea
2021-04-02,Pfizer/BioNTech,146743,South Korea
2021-04-03,Johnson&Johnson,5713,South Korea
2021-04-03,Moderna,19595,South Korea
2021-04-03,Oxford/AstraZeneca,858873,South Korea
2021-04-03,Pfizer/BioNTech,153950,South Korea
2021-04-04,Johnson&Johnson,5749,South Korea
2021-04-04,Moderna,19719,South Korea
2021-04-04,Oxford/AstraZeneca,859088,South Korea
2021-04-04,Pfizer/BioNTech,154879,South Korea
2021-04-05,Johnson&Johnson,6769,South Korea
2021-04-05,Moderna,20040,South Korea
2021-04-05,Oxford/AstraZeneca,872853,South Korea
2021-04-05,Pfizer/BioNTech,178052,South Korea
2021-04-06,Johnson&Johnson,7645,South Korea
2021-04-06,Moderna,20685,South Korea
2021-04-06,Oxford/AstraZeneca,888395,South Korea
2021-04-06,Pfizer/BioNTech,207019,South Korea
2021-04-07,Johnson&Johnson,8935,South Korea
2021-04-07,Moderna,21070,South Korea
2021-04-07,Oxford/AstraZeneca,904623,South Korea
2021-04-07,Pfizer/BioNTech,237975,South Korea
2021-04-08,Johnson&Johnson,10231,South Korea
2021-04-08,Moderna,21743,South Korea
2021-04-08,Oxford/AstraZeneca,911878,South Korea
2021-04-08,Pfizer/BioNTech,278102,South Korea
2021-04-09,Johnson&Johnson,11745,South Korea
2021-04-09,Moderna,22267,South Korea
2021-04-09,Oxford/AstraZeneca,916256,South Korea
2021-04-09,Pfizer/BioNTech,315641,South Korea
2021-04-10,Johnson&Johnson,12407,South Korea
2021-04-10,Moderna,22561,South Korea
2021-04-10,Oxford/AstraZeneca,916986,South Korea
2021-04-10,Pfizer/BioNTech,325653,South Korea
2021-04-11,Johnson&Johnson,12476,South Korea
2021-04-11,Moderna,22711,South Korea
