location,date,vaccine,total_vaccinations
Spain,2021-01-08,Johnson&Johnson,0
Spain,2021-01-08,Moderna,0
Spain,2021-01-08,Oxford/AstraZeneca,0
Spain,2021-01-08,Pfizer/BioNTech,419597
Spain,2021-01-15,Johnson&Johnson,0
Spain,2021-01-15,Moderna,7244
Spain,2021-01-15,Oxford/AstraZeneca,0
Spain,2021-01-15,Pfizer/BioNTech,920145
Spain,2021-01-22,Johnson&Johnson,0
Spain,2021-01-22,Moderna,25663
Spain,2021-01-22,Oxford/AstraZeneca,0
Spain,2021-01-22,Pfizer/BioNTech,1242508
Spain,2021-01-29,Johnson&Johnson,0
Spain,2021-01-29,Moderna,29555
Spain,2021-01-29,Oxford/AstraZeneca,0
Spain,2021-01-29,Pfizer/BioNTech,1613434
Spain,2021-02-05,Johnson&Johnson,0
Spain,2021-02-05,Moderna,49795
Spain,2021-02-05,Oxford/AstraZeneca,0
Spain,2021-02-05,Pfizer/BioNTech,2111402
Spain,2021-02-12,Johnson&Johnson,0
Spain,2021-02-12,Moderna,98938
Spain,2021-02-12,Oxford/AstraZeneca,34828
Spain,2021-02-12,Pfizer/BioNTech,2505514
Spain,2021-02-19,Johnson&Johnson,0
Spain,2021-02-19,Moderna,138793
Spain,2021-02-19,Oxford/AstraZeneca,133298
Spain,2021-02-19,Pfizer/BioNTech,2890282
Spain,2021-02-26,Johnson&Johnson,0
Spain,2021-02-26,Moderna,152748
Spain,2021-02-26,Oxford/AstraZeneca,379861
Spain,2021-02-26,Pfizer/BioNTech,3396072
Spain,2021-03-05,Johnson&Johnson,0
Spain,2021-03-05,Moderna,200007
Spain,2021-03-05,Oxford/AstraZeneca,675930
Spain,2021-03-05,Pfizer/BioNTech,3958674
Spain,2021-03-12,Johnson&Johnson,0
Spain,2021-03-12,Moderna,257796
Spain,2021-03-12,Oxford/AstraZeneca,979658
Spain,2021-03-12,Pfizer/BioNTech,4524992
Spain,2021-03-19,Johnson&Johnson,0
Spain,2021-03-19,Moderna,344979
Spain,2021-03-19,Oxford/AstraZeneca,1017053
Spain,2021-03-19,Pfizer/BioNTech,5092205
Spain,2021-03-26,Johnson&Johnson,0
Spain,2021-03-26,Moderna,446011
Spain,2021-03-26,Oxford/AstraZeneca,1444314
Spain,2021-03-26,Pfizer/BioNTech,5788540
Spain,2021-04-02,Johnson&Johnson,0
Spain,2021-04-02,Moderna,548380
Spain,2021-04-02,Oxford/AstraZeneca,1959820
Spain,2021-04-02,Pfizer/BioNTech,6460699
Spain,2021-04-09,Johnson&Johnson,0
Spain,2021-04-09,Moderna,617854
Spain,2021-04-09,Oxford/AstraZeneca,2659013
Spain,2021-04-09,Pfizer/BioNTech,7693088
Spain,2021-04-16,Johnson&Johnson,0
Spain,2021-04-16,Moderna,791746
Spain,2021-04-16,Oxford/AstraZeneca,3194039
Spain,2021-04-16,Pfizer/BioNTech,8979839
Spain,2021-04-23,Johnson&Johnson,33962
Spain,2021-04-23,Moderna,962760
Spain,2021-04-23,Oxford/AstraZeneca,3591511
Spain,2021-04-23,Pfizer/BioNTech,10260141
Spain,2021-04-30,Johnson&Johnson,132096
Spain,2021-04-30,Moderna,1125301
Spain,2021-04-30,Oxford/AstraZeneca,3983594
Spain,2021-04-30,Pfizer/BioNTech,12030075
Spain,2021-05-07,Johnson&Johnson,193036
Spain,2021-05-07,Moderna,1337625
Spain,2021-05-07,Oxford/AstraZeneca,4619933
Spain,2021-05-07,Pfizer/BioNTech,13796472
Spain,2021-05-14,Johnson&Johnson,227463
Spain,2021-05-14,Moderna,1779970
Spain,2021-05-14,Oxford/AstraZeneca,4857556
Spain,2021-05-14,Pfizer/BioNTech,15563284
Spain,2021-05-21,Johnson&Johnson,325157
Spain,2021-05-21,Moderna,2147361
Spain,2021-05-21,Oxford/AstraZeneca,4968267
Spain,2021-05-21,Pfizer/BioNTech,17323577
Spain,2021-05-28,Johnson&Johnson,441037
Spain,2021-05-28,Moderna,2485187
Spain,2021-05-28,Oxford/AstraZeneca,5145186
Spain,2021-05-28,Pfizer/BioNTech,18960279
Spain,2021-06-04,Johnson&Johnson,627815
Spain,2021-06-04,Moderna,2753168
Spain,2021-06-04,Oxford/AstraZeneca,5517523
Spain,2021-06-04,Pfizer/BioNTech,21076904
Spain,2021-06-11,Johnson&Johnson,859003
Spain,2021-06-11,Moderna,3142157
Spain,2021-06-11,Oxford/AstraZeneca,5832870
Spain,2021-06-11,Pfizer/BioNTech,23491329
Spain,2021-06-18,Johnson&Johnson,1055749
Spain,2021-06-18,Moderna,3495533
Spain,2021-06-18,Oxford/AstraZeneca,6199989
Spain,2021-06-18,Pfizer/BioNTech,25817963
Spain,2021-06-25,Johnson&Johnson,1219765
Spain,2021-06-25,Moderna,3794486
Spain,2021-06-25,Oxford/AstraZeneca,6942755
Spain,2021-06-25,Pfizer/BioNTech,28284736
Spain,2021-07-02,Johnson&Johnson,1358923
Spain,2021-07-02,Moderna,4070811
Spain,2021-07-02,Oxford/AstraZeneca,7741333
Spain,2021-07-02,Pfizer/BioNTech,31037859
Spain,2021-07-09,Johnson&Johnson,1493796
Spain,2021-07-09,Moderna,4450116
Spain,2021-07-09,Oxford/AstraZeneca,8577491
Spain,2021-07-09,Pfizer/BioNTech,33389202
Spain,2021-07-16,Johnson&Johnson,1635058
Spain,2021-07-16,Moderna,4996255
Spain,2021-07-16,Oxford/AstraZeneca,9118650
Spain,2021-07-16,Pfizer/BioNTech,35407302
Spain,2021-07-23,Johnson&Johnson,1771349
Spain,2021-07-23,Moderna,5502110
Spain,2021-07-23,Oxford/AstraZeneca,9422757
Spain,2021-07-23,Pfizer/BioNTech,37346014
Spain,2021-07-30,Johnson&Johnson,1827996
Spain,2021-07-30,Moderna,5990792
Spain,2021-07-30,Oxford/AstraZeneca,9589237
Spain,2021-07-30,Pfizer/BioNTech,39024742
Spain,2021-08-06,Johnson&Johnson,1874318
Spain,2021-08-06,Moderna,6432991
Spain,2021-08-06,Oxford/AstraZeneca,9655803
Spain,2021-08-06,Pfizer/BioNTech,40443355
Spain,2021-08-13,Johnson&Johnson,1904997
Spain,2021-08-13,Moderna,6877555
Spain,2021-08-13,Oxford/AstraZeneca,9690701
Spain,2021-08-13,Pfizer/BioNTech,41701735
Spain,2021-08-20,Johnson&Johnson,1919343
Spain,2021-08-20,Moderna,7301743
Spain,2021-08-20,Oxford/AstraZeneca,9709626
Spain,2021-08-20,Pfizer/BioNTech,42736119
Spain,2021-08-27,Johnson&Johnson,1924019
Spain,2021-08-27,Moderna,7449671
Spain,2021-08-27,Oxford/AstraZeneca,9717764
Spain,2021-08-27,Pfizer/BioNTech,43098452
