location,date,vaccine,total_vaccinations
Sweden,2021-01-01,Moderna,0
Sweden,2021-01-01,Oxford/AstraZeneca,0
Sweden,2021-01-01,Pfizer/BioNTech,2449
Sweden,2021-01-08,Moderna,0
Sweden,2021-01-08,Oxford/AstraZeneca,0
Sweden,2021-01-08,Pfizer/BioNTech,52927
Sweden,2021-01-15,Moderna,107
Sweden,2021-01-15,Oxford/AstraZeneca,0
Sweden,2021-01-15,Pfizer/BioNTech,132642
Sweden,2021-01-22,Moderna,5495
Sweden,2021-01-22,Oxford/AstraZeneca,0
Sweden,2021-01-22,Pfizer/BioNTech,243812
Sweden,2021-01-29,Moderna,8240
Sweden,2021-01-29,Oxford/AstraZeneca,0
Sweden,2021-01-29,Pfizer/BioNTech,332277
Sweden,2021-02-05,Moderna,12545
Sweden,2021-02-05,Oxford/AstraZeneca,0
Sweden,2021-02-05,Pfizer/BioNTech,428223
Sweden,2021-02-12,Moderna,23288
Sweden,2021-02-12,Oxford/AstraZeneca,9809
Sweden,2021-02-12,Pfizer/BioNTech,525801
Sweden,2021-02-19,Moderna,39172
Sweden,2021-02-19,Oxford/AstraZeneca,37938
Sweden,2021-02-19,Pfizer/BioNTech,636566
Sweden,2021-02-26,Moderna,48623
Sweden,2021-02-26,Oxford/AstraZeneca,77826
Sweden,2021-02-26,Pfizer/BioNTech,743951
Sweden,2021-03-05,Moderna,61751
Sweden,2021-03-05,Oxford/AstraZeneca,147491
Sweden,2021-03-05,Pfizer/BioNTech,851283
Sweden,2021-03-12,Moderna,84959
Sweden,2021-03-12,Oxford/AstraZeneca,220236
Sweden,2021-03-12,Pfizer/BioNTech,976900
Sweden,2021-03-19,Moderna,112901
Sweden,2021-03-19,Oxford/AstraZeneca,231328
Sweden,2021-03-19,Pfizer/BioNTech,1112582
Sweden,2021-03-26,Moderna,148749
Sweden,2021-03-26,Oxford/AstraZeneca,237982
Sweden,2021-03-26,Pfizer/BioNTech,1268786
Sweden,2021-04-02,Moderna,168380
Sweden,2021-04-02,Oxford/AstraZeneca,311365
Sweden,2021-04-02,Pfizer/BioNTech,1441643
Sweden,2021-04-09,Moderna,206932
Sweden,2021-04-09,Oxford/AstraZeneca,420440
Sweden,2021-04-09,Pfizer/BioNTech,1640559
Sweden,2021-04-16,Moderna,235634
Sweden,2021-04-16,Oxford/AstraZeneca,582689
Sweden,2021-04-16,Pfizer/BioNTech,1925364
Sweden,2021-04-23,Moderna,274781
Sweden,2021-04-23,Oxford/AstraZeneca,678070
Sweden,2021-04-23,Pfizer/BioNTech,2232185
Sweden,2021-04-30,Moderna,305469
Sweden,2021-04-30,Oxford/AstraZeneca,714078
Sweden,2021-04-30,Pfizer/BioNTech,2566003
Sweden,2021-05-07,Moderna,354412
Sweden,2021-05-07,Oxford/AstraZeneca,732594
Sweden,2021-05-07,Pfizer/BioNTech,2957441
Sweden,2021-05-14,Moderna,392145
Sweden,2021-05-14,Oxford/AstraZeneca,762277
Sweden,2021-05-14,Pfizer/BioNTech,3316408
Sweden,2021-05-21,Moderna,456349
Sweden,2021-05-21,Oxford/AstraZeneca,804611
Sweden,2021-05-21,Pfizer/BioNTech,3664382
Sweden,2021-05-28,Moderna,514234
Sweden,2021-05-28,Oxford/AstraZeneca,827721
Sweden,2021-05-28,Pfizer/BioNTech,4067697
Sweden,2021-06-04,Moderna,581962
Sweden,2021-06-04,Oxford/AstraZeneca,877367
Sweden,2021-06-04,Pfizer/BioNTech,4535055
Sweden,2021-06-11,Moderna,648537
Sweden,2021-06-11,Oxford/AstraZeneca,944936
Sweden,2021-06-11,Pfizer/BioNTech,5081283
Sweden,2021-06-18,Moderna,712652
Sweden,2021-06-18,Oxford/AstraZeneca,1076997
Sweden,2021-06-18,Pfizer/BioNTech,5657074
Sweden,2021-06-25,Moderna,768025
Sweden,2021-06-25,Oxford/AstraZeneca,1183636
Sweden,2021-06-25,Pfizer/BioNTech,6131886
Sweden,2021-07-02,Moderna,840096
Sweden,2021-07-02,Oxford/AstraZeneca,1261723
Sweden,2021-07-02,Pfizer/BioNTech,6712897
Sweden,2021-07-09,Moderna,915943
Sweden,2021-07-09,Oxford/AstraZeneca,1302415
Sweden,2021-07-09,Pfizer/BioNTech,7187768
Sweden,2021-07-16,Moderna,1011136
Sweden,2021-07-16,Oxford/AstraZeneca,1318579
Sweden,2021-07-16,Pfizer/BioNTech,7576531
Sweden,2021-07-23,Moderna,1091551
Sweden,2021-07-23,Oxford/AstraZeneca,1326408
Sweden,2021-07-23,Pfizer/BioNTech,7922319
