date,vaccine,total_vaccinations,location
2020-12-22,Moderna,0,Switzerland
2020-12-23,Moderna,1,Switzerland
2020-12-24,Moderna,1,Switzerland
2020-12-25,Moderna,2,Switzerland
2020-12-26,Moderna,2,Switzerland
2020-12-27,Moderna,2,Switzerland
2020-12-28,Moderna,2,Switzerland
2020-12-29,Moderna,2,Switzerland
2020-12-30,Moderna,2,Switzerland
2020-12-31,Moderna,3,Switzerland
2021-01-01,Moderna,5,Switzerland
2021-01-02,Moderna,5,Switzerland
2021-01-03,Moderna,6,Switzerland
2021-01-04,Moderna,6,Switzerland
2021-01-05,Moderna,6,Switzerland
2021-01-06,Moderna,8,Switzerland
2021-01-07,Moderna,9,Switzerland
2021-01-08,Moderna,9,Switzerland
2021-01-09,Moderna,13,Switzerland
2021-01-10,Moderna,13,Switzerland
2021-01-11,Moderna,32,Switzerland
2021-01-12,Moderna,121,Switzerland
2021-01-13,Moderna,330,Switzerland
2021-01-14,Moderna,682,Switzerland
2021-01-15,Moderna,1476,Switzerland
2021-01-16,Moderna,3801,Switzerland
2021-01-17,Moderna,3885,Switzerland
2021-01-18,Moderna,5533,Switzerland
2021-01-19,Moderna,10258,Switzerland
2021-01-20,Moderna,16955,Switzerland
2021-01-21,Moderna,25603,Switzerland
2021-01-22,Moderna,33680,Switzerland
2021-01-23,Moderna,37732,Switzerland
2021-01-24,Moderna,38348,Switzerland
2021-01-25,Moderna,48274,Switzerland
2021-01-26,Moderna,64698,Switzerland
2021-01-27,Moderna,81767,Switzerland
2021-01-28,Moderna,99647,Switzerland
2021-01-29,Moderna,111246,Switzerland
2021-01-30,Moderna,111246,Switzerland
2021-01-31,Moderna,111246,Switzerland
2021-02-01,Moderna,120786,Switzerland
2021-02-02,Moderna,132128,Switzerland
2021-02-03,Moderna,143470,Switzerland
2021-02-04,Moderna,153846,Switzerland
2021-02-05,Moderna,163160,Switzerland
2021-02-06,Moderna,164344,Switzerland
2021-02-07,Moderna,164920,Switzerland
2021-02-08,Moderna,172937,Switzerland
2021-02-09,Moderna,183412,Switzerland
2021-02-10,Moderna,195161,Switzerland
2021-02-11,Moderna,207060,Switzerland
2021-02-12,Moderna,220575,Switzerland
2021-02-13,Moderna,225735,Switzerland
2021-02-14,Moderna,226464,Switzerland
2021-02-15,Moderna,236075,Switzerland
2021-02-16,Moderna,249314,Switzerland
2021-02-17,Moderna,262199,Switzerland
2021-02-18,Moderna,277220,Switzerland
2021-02-19,Moderna,289448,Switzerland
2021-02-20,Moderna,294130,Switzerland
2021-02-21,Moderna,294903,Switzerland
2021-02-22,Moderna,306080,Switzerland
2021-02-23,Moderna,322213,Switzerland
2021-02-24,Moderna,339249,Switzerland
2021-02-25,Moderna,357006,Switzerland
2021-02-26,Moderna,372622,Switzerland
2021-02-27,Moderna,376772,Switzerland
2021-02-28,Moderna,377833,Switzerland
2021-03-01,Moderna,391076,Switzerland
2021-03-02,Moderna,406182,Switzerland
2021-03-03,Moderna,424008,Switzerland
2021-03-04,Moderna,443132,Switzerland
2021-03-05,Moderna,459171,Switzerland
2021-03-06,Moderna,462810,Switzerland
2021-03-07,Moderna,463632,Switzerland
2021-03-08,Moderna,475339,Switzerland
2021-03-09,Moderna,491263,Switzerland
2021-03-10,Moderna,506718,Switzerland
2021-03-11,Moderna,523267,Switzerland
2021-03-12,Moderna,537107,Switzerland
