location,date,vaccine,total_vaccinations
Ukraine,2021-02-24,Oxford/AstraZeneca,159
Ukraine,2021-02-25,Oxford/AstraZeneca,1338
Ukraine,2021-02-26,Oxford/AstraZeneca,3051
Ukraine,2021-02-27,Oxford/AstraZeneca,3141
Ukraine,2021-02-28,Oxford/AstraZeneca,3141
Ukraine,2021-03-01,Oxford/AstraZeneca,4905
Ukraine,2021-03-02,Oxford/AstraZeneca,6888
Ukraine,2021-03-03,Oxford/AstraZeneca,9568
Ukraine,2021-03-04,Oxford/AstraZeneca,12481
Ukraine,2021-03-05,Oxford/AstraZeneca,15758
Ukraine,2021-03-06,Oxford/AstraZeneca,17037
Ukraine,2021-03-07,Oxford/AstraZeneca,17947
Ukraine,2021-03-08,Oxford/AstraZeneca,19118
Ukraine,2021-03-09,Oxford/AstraZeneca,23480
Ukraine,2021-03-10,Oxford/AstraZeneca,29378
Ukraine,2021-03-11,Oxford/AstraZeneca,38237
Ukraine,2021-03-12,Oxford/AstraZeneca,47541
Ukraine,2021-03-13,Oxford/AstraZeneca,51137
Ukraine,2021-03-14,Oxford/AstraZeneca,53155
Ukraine,2021-03-15,Oxford/AstraZeneca,62083
Ukraine,2021-03-16,Oxford/AstraZeneca,71923
Ukraine,2021-03-17,Oxford/AstraZeneca,81755
Ukraine,2021-03-18,Oxford/AstraZeneca,92714
Ukraine,2021-03-19,Oxford/AstraZeneca,104342
Ukraine,2021-03-20,Oxford/AstraZeneca,108310
Ukraine,2021-03-21,Oxford/AstraZeneca,111025
Ukraine,2021-03-22,Oxford/AstraZeneca,121929
Ukraine,2021-03-23,Oxford/AstraZeneca,137026
Ukraine,2021-03-24,Oxford/AstraZeneca,155587
Ukraine,2021-03-25,Oxford/AstraZeneca,174325
Ukraine,2021-03-26,Oxford/AstraZeneca,192264
Ukraine,2021-03-27,Oxford/AstraZeneca,196880
Ukraine,2021-03-28,Oxford/AstraZeneca,198465
Ukraine,2021-03-29,Oxford/AstraZeneca,212898
Ukraine,2021-03-30,Oxford/AstraZeneca,231566
Ukraine,2021-03-31,Oxford/AstraZeneca,248736
Ukraine,2021-04-01,Oxford/AstraZeneca,267833
Ukraine,2021-04-02,Oxford/AstraZeneca,286647
Ukraine,2021-04-03,Oxford/AstraZeneca,290566
Ukraine,2021-04-04,Oxford/AstraZeneca,291824
Ukraine,2021-04-05,Oxford/AstraZeneca,304680
Ukraine,2021-04-06,Oxford/AstraZeneca,320265
Ukraine,2021-04-07,Oxford/AstraZeneca,334578
Ukraine,2021-04-08,Oxford/AstraZeneca,353147
Ukraine,2021-04-09,Oxford/AstraZeneca,373005
Ukraine,2021-04-10,Oxford/AstraZeneca,377053
Ukraine,2021-04-11,Oxford/AstraZeneca,378269
Ukraine,2021-04-12,Oxford/AstraZeneca,388404
Ukraine,2021-04-13,Oxford/AstraZeneca,403551
Ukraine,2021-04-13,Sinovac,5
Ukraine,2021-04-14,Oxford/AstraZeneca,419087
Ukraine,2021-04-14,Sinovac,213
Ukraine,2021-04-15,Oxford/AstraZeneca,431812
Ukraine,2021-04-15,Sinovac,1008
Ukraine,2021-04-16,Oxford/AstraZeneca,443429
Ukraine,2021-04-16,Sinovac,2435
Ukraine,2021-04-17,Oxford/AstraZeneca,445700
Ukraine,2021-04-17,Sinovac,3497
Ukraine,2021-04-18,Oxford/AstraZeneca,446389
Ukraine,2021-04-18,Pfizer/BioNTech,366
Ukraine,2021-04-18,Sinovac,3895
Ukraine,2021-04-19,Oxford/AstraZeneca,451809
Ukraine,2021-04-19,Pfizer/BioNTech,3870
Ukraine,2021-04-19,Sinovac,7115
Ukraine,2021-04-20,Oxford/AstraZeneca,457040
Ukraine,2021-04-20,Pfizer/BioNTech,8718
Ukraine,2021-04-20,Sinovac,12078
Ukraine,2021-04-21,Oxford/AstraZeneca,460895
Ukraine,2021-04-21,Pfizer/BioNTech,13296
Ukraine,2021-04-21,Sinovac,17689
Ukraine,2021-04-22,Oxford/AstraZeneca,464985
Ukraine,2021-04-22,Pfizer/BioNTech,18324
Ukraine,2021-04-22,Sinovac,24740
Ukraine,2021-04-23,Oxford/AstraZeneca,469403
Ukraine,2021-04-23,Pfizer/BioNTech,21780
Ukraine,2021-04-23,Sinovac,31205
Ukraine,2021-04-24,Oxford/AstraZeneca,470473
Ukraine,2021-04-24,Pfizer/BioNTech,23490
Ukraine,2021-04-24,Sinovac,32956
Ukraine,2021-04-25,Oxford/AstraZeneca,470683
Ukraine,2021-04-25,Pfizer/BioNTech,24012
Ukraine,2021-04-25,Sinovac,33338
Ukraine,2021-04-26,Oxford/AstraZeneca,472593
Ukraine,2021-04-26,Pfizer/BioNTech,27600
Ukraine,2021-04-26,Sinovac,38940
Ukraine,2021-04-27,Oxford/AstraZeneca,480033
Ukraine,2021-04-27,Pfizer/BioNTech,32518
Ukraine,2021-04-27,Sinovac,46172
Ukraine,2021-04-28,Oxford/AstraZeneca,540051
Ukraine,2021-04-28,Pfizer/BioNTech,37176
Ukraine,2021-04-28,Sinovac,51965
Ukraine,2021-04-29,Oxford/AstraZeneca,604249
Ukraine,2021-04-29,Pfizer/BioNTech,41032
Ukraine,2021-04-29,Sinovac,57287
Ukraine,2021-04-30,Oxford/AstraZeneca,647816
Ukraine,2021-04-30,Pfizer/BioNTech,44088
Ukraine,2021-04-30,Sinovac,60649
Ukraine,2021-05-01,Oxford/AstraZeneca,649686
Ukraine,2021-05-01,Pfizer/BioNTech,44322
Ukraine,2021-05-01,Sinovac,61206
Ukraine,2021-05-02,Oxford/AstraZeneca,649816
Ukraine,2021-05-02,Pfizer/BioNTech,44334
Ukraine,2021-05-02,Sinovac,61241
Ukraine,2021-05-03,Oxford/AstraZeneca,650276
Ukraine,2021-05-03,Pfizer/BioNTech,44436
Ukraine,2021-05-03,Sinovac,61598
Ukraine,2021-05-04,Oxford/AstraZeneca,652876
Ukraine,2021-05-04,Pfizer/BioNTech,44904
Ukraine,2021-05-04,Sinovac,61955
Ukraine,2021-05-05,Oxford/AstraZeneca,672960
Ukraine,2021-05-05,Pfizer/BioNTech,46632
Ukraine,2021-05-05,Sinovac,64637
Ukraine,2021-05-06,Oxford/AstraZeneca,705897
Ukraine,2021-05-06,Pfizer/BioNTech,48774
Ukraine,2021-05-06,Sinovac,67525
Ukraine,2021-05-07,Oxford/AstraZeneca,737291
Ukraine,2021-05-07,Pfizer/BioNTech,51078
Ukraine,2021-05-07,Sinovac,69873
Ukraine,2021-05-08,Oxford/AstraZeneca,740925
Ukraine,2021-05-08,Pfizer/BioNTech,51858
Ukraine,2021-05-08,Sinovac,70302
Ukraine,2021-05-09,Oxford/AstraZeneca,741805
Ukraine,2021-05-09,Pfizer/BioNTech,51858
Ukraine,2021-05-09,Sinovac,70426
Ukraine,2021-05-10,Oxford/AstraZeneca,743295
Ukraine,2021-05-10,Pfizer/BioNTech,52326
Ukraine,2021-05-10,Sinovac,70662
Ukraine,2021-05-11,Oxford/AstraZeneca,757095
Ukraine,2021-05-11,Pfizer/BioNTech,54642
Ukraine,2021-05-11,Sinovac,72810
Ukraine,2021-05-12,Oxford/AstraZeneca,772458
Ukraine,2021-05-12,Pfizer/BioNTech,57054
Ukraine,2021-05-12,Sinovac,75421
Ukraine,2021-05-13,Oxford/AstraZeneca,785918
Ukraine,2021-05-13,Pfizer/BioNTech,60756
Ukraine,2021-05-13,Sinovac,79846
Ukraine,2021-05-14,Oxford/AstraZeneca,801056
Ukraine,2021-05-14,Pfizer/BioNTech,65100
Ukraine,2021-05-14,Sinovac,84002
Ukraine,2021-05-15,Oxford/AstraZeneca,803276
Ukraine,2021-05-15,Pfizer/BioNTech,67854
Ukraine,2021-05-15,Sinovac,85192
Ukraine,2021-05-16,Oxford/AstraZeneca,804026
Ukraine,2021-05-16,Pfizer/BioNTech,69006
Ukraine,2021-05-16,Sinovac,85520
Ukraine,2021-05-17,Oxford/AstraZeneca,810750
Ukraine,2021-05-17,Pfizer/BioNTech,74190
Ukraine,2021-05-17,Sinovac,90844
Ukraine,2021-05-18,Oxford/AstraZeneca,818356
Ukraine,2021-05-18,Pfizer/BioNTech,79602
Ukraine,2021-05-18,Sinovac,96914
Ukraine,2021-05-19,Oxford/AstraZeneca,825196
Ukraine,2021-05-19,Pfizer/BioNTech,83706
Ukraine,2021-05-19,Sinovac,103913
Ukraine,2021-05-20,Oxford/AstraZeneca,831816
Ukraine,2021-05-20,Pfizer/BioNTech,88746
Ukraine,2021-05-20,Sinovac,111166
Ukraine,2021-05-21,Oxford/AstraZeneca,838426
Ukraine,2021-05-21,Pfizer/BioNTech,93072
Ukraine,2021-05-21,Sinovac,117813
Ukraine,2021-05-22,Johnson&Johnson,219
Ukraine,2021-05-22,Oxford/AstraZeneca,839366
Ukraine,2021-05-22,Pfizer/BioNTech,94298
Ukraine,2021-05-22,Sinovac,118931
Ukraine,2021-05-23,Johnson&Johnson,219
Ukraine,2021-05-23,Oxford/AstraZeneca,839766
Ukraine,2021-05-23,Pfizer/BioNTech,94818
Ukraine,2021-05-23,Sinovac,119336
Ukraine,2021-05-24,Johnson&Johnson,219
Ukraine,2021-05-24,Oxford/AstraZeneca,843688
Ukraine,2021-05-24,Pfizer/BioNTech,97956
Ukraine,2021-05-24,Sinovac,126332
Ukraine,2021-05-25,Johnson&Johnson,224
Ukraine,2021-05-25,Oxford/AstraZeneca,848268
Ukraine,2021-05-25,Pfizer/BioNTech,100848
Ukraine,2021-05-25,Sinovac,135242
Ukraine,2021-05-26,Johnson&Johnson,224
Ukraine,2021-05-26,Oxford/AstraZeneca,851668
Ukraine,2021-05-26,Pfizer/BioNTech,103998
Ukraine,2021-05-26,Sinovac,143823
Ukraine,2021-05-27,Johnson&Johnson,224
Ukraine,2021-05-27,Oxford/AstraZeneca,854719
Ukraine,2021-05-27,Pfizer/BioNTech,107148
Ukraine,2021-05-27,Sinovac,153915
Ukraine,2021-05-28,Johnson&Johnson,224
Ukraine,2021-05-28,Oxford/AstraZeneca,857699
Ukraine,2021-05-28,Pfizer/BioNTech,109791
Ukraine,2021-05-28,Sinovac,165107
Ukraine,2021-05-29,Johnson&Johnson,224
Ukraine,2021-05-29,Oxford/AstraZeneca,858539
Ukraine,2021-05-29,Pfizer/BioNTech,110234
Ukraine,2021-05-29,Sinovac,172416
Ukraine,2021-05-30,Johnson&Johnson,224
Ukraine,2021-05-30,Oxford/AstraZeneca,858829
Ukraine,2021-05-30,Pfizer/BioNTech,110276
Ukraine,2021-05-30,Sinovac,178252
Ukraine,2021-05-31,Johnson&Johnson,224
Ukraine,2021-05-31,Oxford/AstraZeneca,859989
Ukraine,2021-05-31,Pfizer/BioNTech,112089
Ukraine,2021-05-31,Sinovac,189216
Ukraine,2021-06-01,Johnson&Johnson,224
Ukraine,2021-06-01,Oxford/AstraZeneca,860659
Ukraine,2021-06-01,Pfizer/BioNTech,116031
Ukraine,2021-06-01,Sinovac,203488
Ukraine,2021-06-02,Johnson&Johnson,224
Ukraine,2021-06-02,Oxford/AstraZeneca,862199
Ukraine,2021-06-02,Pfizer/BioNTech,133047
Ukraine,2021-06-02,Sinovac,219413
Ukraine,2021-06-03,Johnson&Johnson,224
Ukraine,2021-06-03,Oxford/AstraZeneca,862969
Ukraine,2021-06-03,Pfizer/BioNTech,165536
Ukraine,2021-06-03,Sinovac,236994
Ukraine,2021-06-04,Johnson&Johnson,390
Ukraine,2021-06-04,Oxford/AstraZeneca,863629
Ukraine,2021-06-04,Pfizer/BioNTech,200463
Ukraine,2021-06-04,Sinovac,258681
Ukraine,2021-06-05,Johnson&Johnson,390
Ukraine,2021-06-05,Oxford/AstraZeneca,863849
Ukraine,2021-06-05,Pfizer/BioNTech,224606
Ukraine,2021-06-05,Sinovac,274419
Ukraine,2021-06-06,Johnson&Johnson,390
Ukraine,2021-06-06,Oxford/AstraZeneca,863919
Ukraine,2021-06-06,Pfizer/BioNTech,236169
Ukraine,2021-06-06,Sinovac,287646
Ukraine,2021-06-07,Johnson&Johnson,390
Ukraine,2021-06-07,Oxford/AstraZeneca,865399
Ukraine,2021-06-07,Pfizer/BioNTech,261198
Ukraine,2021-06-07,Sinovac,309298
Ukraine,2021-06-08,Johnson&Johnson,390
Ukraine,2021-06-08,Oxford/AstraZeneca,872509
Ukraine,2021-06-08,Pfizer/BioNTech,283853
Ukraine,2021-06-08,Sinovac,332694
Ukraine,2021-06-09,Johnson&Johnson,390
Ukraine,2021-06-09,Oxford/AstraZeneca,889371
Ukraine,2021-06-09,Pfizer/BioNTech,299946
Ukraine,2021-06-09,Sinovac,355312
Ukraine,2021-06-10,Johnson&Johnson,390
Ukraine,2021-06-10,Oxford/AstraZeneca,910909
Ukraine,2021-06-10,Pfizer/BioNTech,313624
Ukraine,2021-06-10,Sinovac,374425
Ukraine,2021-06-11,Johnson&Johnson,390
Ukraine,2021-06-11,Oxford/AstraZeneca,935501
Ukraine,2021-06-11,Pfizer/BioNTech,332036
Ukraine,2021-06-11,Sinovac,393483
Ukraine,2021-06-12,Johnson&Johnson,390
Ukraine,2021-06-12,Oxford/AstraZeneca,941608
Ukraine,2021-06-12,Pfizer/BioNTech,339578
Ukraine,2021-06-12,Sinovac,414704
Ukraine,2021-06-13,Johnson&Johnson,390
