date,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations,vaccine,location,source_url
2021-02-21,20,0,0,20,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-02-22,2789,0,0,2789,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-02-23,6911,3,0,6914,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-02-24,16626,3,0,16629,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-02-25,23501,9,0,23510,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-02-26,29989,11,0,30000,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-02-27,31882,12,0,31894,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-02-28,34618,12,0,34630,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-03-01,41895,12,0,41907,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-03-02,51058,12,0,51070,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-03-03,60994,15,0,61009,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-03-04,71848,19,0,71867,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-03-05,76916,24,0,76940,Pfizer/BioNTech,Australia,https://covidbaseau.com/
2021-03-06,81321,24,0,81345,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-07,86345,24,0,86369,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-08,94884,24,0,94908,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-09,108301,27,0,108328,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-10,124972,28,0,125000,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-11,135077,32,0,135109,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-12,159260,34,0,159294,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-13,162517,34,0,162551,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-14,164746,35,0,164781,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-15,182214,223,0,182437,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-16,203032,525,0,203557,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-17,224711,1346,0,226057,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-18,238673,2081,0,240754,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-19,251060,2771,0,253831,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-20,253858,2924,0,256782,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-21,262283,19677,0,281960,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-22,289317,23185,0,312502,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-23,334123,24379,0,358502,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-24,379837,28573,0,408410,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-25,427294,32861,0,460155,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-26,471771,34694,0,506465,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-27,488220,35969,0,524189,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-28,505085,36676,0,541761,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-29,551335,46190,0,597525,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-30,620336,50015,0,670351,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-03-31,671606,72724,0,744330,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-01,744369,79244,0,823613,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-02,747698,80361,0,828059,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-03,761864,81318,0,843182,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-04,762679,81630,0,844309,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-05,771972,83011,0,854983,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-06,829963,90371,0,920334,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-07,899641,96573,0,996214,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-08,940239,137272,0,1077511,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-09,993668,145198,0,1138866,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-10,1018671,147897,0,1166568,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-11,1029486,148816,0,1178302,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-12,1077574,157107,0,1234681,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-13,1131621,164051,0,1295672,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-14,1188424,170881,0,1359305,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-15,1242588,177989,0,1420577,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-16,1290409,184149,0,1474558,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-17,1310866,186046,0,1496912,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-18,1399808,186748,0,1586556,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-19,1459097,194189,0,1653286,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-20,1516390,201717,0,1718107,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-21,1565322,220376,0,1785698,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-22,1628307,227294,0,1855601,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-23,1682424,231623,0,1914047,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-24,1701357,232720,0,1934077,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-25,1704743,232742,0,1937485,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-26,1735756,233581,0,1969337,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-27,1791020,238524,0,2029544,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-28,1867045,245240,0,2112285,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-29,1926672,252872,0,2179544,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-04-30,1976315,258529,0,2234844,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-01,1994063,260011,0,2254074,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-02,1999899,260716,0,2260615,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-03,2051573,265396,0,2316969,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-04,2124394,271920,0,2396314,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-05,2195139,278390,0,2473529,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-06,2268890,285641,0,2554531,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-07,2335211,292514,0,2627725,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-08,2360192,294146,0,2654338,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-09,2368476,294745,0,2663221,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-10,2436106,300001,0,2736107,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-11,2506399,306087,0,2812486,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-12,2580660,314110,0,2894770,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-13,2660509,320135,0,2980644,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-14,2728447,328350,0,3056797,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-15,2758361,330823,0,3089184,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-16,2768527,331610,0,3100137,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-17,2772593,410731,0,3183324,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-18,2861133,417721,0,3278854,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-19,2946301,425427,0,3371728,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-20,3038105,434769,0,3472874,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-24,3255437,435185,0,3690622,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-25,3320569,474711,0,3795280,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-26,3425248,481420,0,3906668,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-27,3541569,489970,0,4031539,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-28,3655905,497244,0,4153149,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-29,3714197,498702,0,4212899,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-30,3743622,499978,0,4243600,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-05-31,3856485,506254,0,4362739,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-01,3960329,541115,0,4501444,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-02,4092509,550194,0,4642703,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-03,4226528,559834,0,4786362,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-04,4357962,569645,0,4927607,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-05,4442925,573427,0,5016352,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-06,4463413,613000,0,5076413,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-07,4568516,635461,0,5203977,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-08,4693030,651832,0,5344862,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-09,4817746,669924,0,5487670,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-10,4954528,686480,0,5641008,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-13,5000913,866386,0,5867299,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-14,5029208,902037,0,5931245,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-15,5157291,926029,0,6083320,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-16,5258090,961240,0,6219330,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-17,5340569,1020097,0,6360666,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-18,5447144,1044332,0,6491476,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-19,5499359,1056670,0,6556029,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-20,5509653,1081088,0,6590741,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-21,5630732,1088652,0,6719384,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-22,5645745,1214531,0,6860276,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-23,5756508,1242690,0,6999198,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-24,5777713,1359919,0,7137632,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-25,5871374,1386231,0,7257605,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-26,5876688,1449632,0,7326320,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-27,5897308,1477358,0,7374666,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-28,6021941,1478759,0,7500700,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-29,6099088,1546497,0,7645585,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-06-30,6109102,1633434,0,7742536,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-01,6201581,1726273,0,7927854,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-02,6274405,1808266,0,8082671,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-03,6319911,1855746,0,8175657,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-04,6348365,1877621,0,8225986,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-05,6416805,1944225,0,8361030,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-06,6496559,2023935,0,8520494,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-07,6570649,2099475,0,8670124,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-08,6646330,2180544,0,8826874,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-09,6717106,2254598,0,8971704,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-10,6766522,2303847,0,9070369,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-11,6798066,2325721,0,9123787,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-12,6869133,2400772,0,9269905,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-13,6950177,2488649,0,9438826,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-14,7030339,2578512,0,9608851,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-15,7110598,2669945,0,9780543,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-16,7189791,2753511,0,9943302,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-17,7243962,2801868,0,10045830,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-18,7274900,2828259,0,10103159,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-19,7363541,2906803,0,10270344,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-20,7449080,2994696,0,10443776,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-21,7548583,3090133,0,10638716,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-22,7643470,3183426,0,10826896,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-23,7739291,3271964,0,11011255,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-24,7803021,3327213,0,11130234,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-25,7840804,3359005,0,11199809,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-26,7934454,3445022,0,11379476,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-27,8025806,3545062,0,11570868,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-28,8137548,3656540,0,11794088,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-29,8237020,3762007,0,11999027,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-30,8344012,3865785,0,12209797,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-07-31,8407015,3927056,0,12334071,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-01,8445404,3964723,0,12410127,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-02,8537516,4061924,0,12599440,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-03,8644506,4174026,0,12818532,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-04,8751409,4289820,0,13041229,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-05,8872330,4408805,0,13281135,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-06,8990538,4526588,0,13517126,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-07,9061739,4611321,0,13673060,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-08,9108510,4651958,0,13760468,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-09,9217113,4761140,0,13978253,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-10,9352280,4892237,0,14244517,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-11,9484184,5023297,0,14507481,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-12,9618874,5158400,0,14777274,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-13,9760508,5295788,0,15056296,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-14,9847969,5372888,0,15220857,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-15,9905472,5409686,0,15315158,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-16,10051748,5542237,0,15593985,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-17,10195842,5671442,0,15867284,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-18,10359796,5815832,0,16175628,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-19,10519590,5958723,0,16478313,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-20,10684738,6103421,0,16788159,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-21,10793183,6190566,0,16983749,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-22,10882390,6240640,0,17123030,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-23,11043784,6368421,0,17412205,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-24,11210096,6508204,0,17718300,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-25,11391093,6661200,0,18052293,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-26,11550262,6808469,0,18358731,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-27,11724184,6950122,0,18674306,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-28,11850205,7044253,0,18894458,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-29,11956986,7095576,0,19052562,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-30,12106618,7222529,0,19329147,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-08-31,12293802,7369320,0,19663122,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-01,12480413,7512554,0,19992967,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-02,12640002,7653638,0,20293640,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-03,12811797,7793356,0,20605153,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-04,12938761,7879487,0,20818248,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-05,13023788,7924726,0,20948514,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-06,13160225,8046566,0,21206791,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-07,13313703,8186949,0,21500652,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-08,13480795,8330598,0,21811393,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-09,13646933,8482722,0,22129655,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-10,13800869,8631565,0,22432434,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-11,13907333,8720390,0,22627723,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-12,13986743,8773858,0,22760601,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-13,14179661,8921250,0,23100911,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-14,14336221,9066250,0,23402471,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-15,14491771,9215782,0,23707553,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-16,14648688,9360385,0,24009073,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-17,14816773,9529749,0,24346522,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-18,14939866,9633085,0,24572951,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-19,15044653,9700572,0,24745225,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-20,15211965,9853616,0,25065581,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-21,15377929,10018707,0,25396636,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-22,15549405,10183666,0,25733071,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
2021-09-23,15724785,10355227,0,26080012,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidbaseau.com/
