location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Burundi,2021-10-19,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-19.pdf,81,81,0,
Burundi,2021-10-20,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-20.pdf,175,175,0,
Burundi,2021-10-22,Sinopharm/Beijing,https://covid19.who.int/,287,287,0,
Burundi,2021-10-26,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-25.pdf,459,459,0,
Burundi,2021-10-28,Sinopharm/Beijing,https://covid19.who.int/,560,560,0,
Burundi,2021-10-29,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-29.pdf,615,615,0,
Burundi,2021-11-09,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-09.pdf,1035,,144,
Burundi,2021-11-10,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-10.pdf,1085,,147,
Burundi,2021-11-12,Sinopharm/Beijing,https://covid19.who.int/,1159,,238,
Burundi,2021-11-15,Sinopharm/Beijing,https://covid19.who.int/,1266,,395,
Burundi,2021-11-18,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-18.pdf,1329,835,494,
Burundi,2021-11-23,Sinopharm/Beijing,https://covid19.who.int/,1438,874,564,
Burundi,2021-11-26,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-26.pdf,1592,814,778,
