location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Chad,2021-06-10,Sinopharm/Beijing,https://covid19.who.int/,5324,5324,0,
Chad,2021-06-23,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,8981,8981,0,
Chad,2021-06-28,Sinopharm/Beijing,https://covid19.who.int/,9799,9799,0,
Chad,2021-07-05,Sinopharm/Beijing,https://covid19.who.int/,14604,10920,3684,
Chad,2021-07-07,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,20478,15966,4512,
Chad,2021-07-15,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,24459,18484,5975,
Chad,2021-07-21,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,28810,21581,7229,
Chad,2021-07-29,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,29980,22445,7535,
Chad,2021-08-05,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,36173,26511,9662,
Chad,2021-08-12,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,40649,29786,10863,
Chad,2021-08-19,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,45390,33525,11865,
Chad,2021-08-28,Sinopharm/Beijing,https://covid19.who.int/,51697,37024,14673,
Chad,2021-08-30,Sinopharm/Beijing,https://covid19.who.int/,55598,40329,15269,
Chad,2021-09-02,Sinopharm/Beijing,https://covid19.who.int/,68267,,,
Chad,2021-09-09,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,76242,60431,15811,
Chad,2021-09-12,Sinopharm/Beijing,https://covid19.who.int/,98302,,,
Chad,2021-09-15,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,104707,86821,17886,
Chad,2021-09-19,Sinopharm/Beijing,https://covid19.who.int/,123052,98213,24839,
Chad,2021-09-26,Sinopharm/Beijing,https://covid19.who.int/,142548,113135,29413,
Chad,2021-09-29,Sinopharm/Beijing,https://covid19.who.int/,154042,123426,30616,
Chad,2021-10-06,Sinopharm/Beijing,https://covid19.who.int/,173184,139591,33593,
Chad,2021-10-11,Sinopharm/Beijing,https://covid19.who.int/,183351,146669,36682,
Chad,2021-10-13,Sinopharm/Beijing,https://covid19.who.int/,191439,150842,40597,
Chad,2021-10-17,Sinopharm/Beijing,https://covid19.who.int/,199516,155038,44478,
Chad,2021-10-24,Sinopharm/Beijing,https://covid19.who.int/,224180,165934,58246,
Chad,2021-10-31,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/sitrep_covid-19_n445_du_1-31_octobre_2021.pdf,226843,166793,60050,
Chad,2021-11-03,Sinopharm/Beijing,https://covid19.who.int/,229019,167809,61210,
Chad,2021-11-07,Sinopharm/Beijing,https://covid19.who.int/,234030,170210,63820,
Chad,2021-11-10,Sinopharm/Beijing,https://covid19.who.int/,237695,172432,65263,
Chad,2021-11-14,Sinopharm/Beijing,https://covid19.who.int/,242251,175171,67080,
Chad,2021-11-21,Sinopharm/Beijing,https://covid19.who.int/,249651,179130,70521,
Chad,2021-11-27,Sinopharm/Beijing,https://covid19.who.int/,258618,185794,72824,
Chad,2021-12-05,Sinopharm/Beijing,https://covid19.who.int/,275026,198522,76504,
Chad,2021-12-12,Sinopharm/Beijing,https://covid19.who.int/,285922,205259,80663,
Chad,2021-12-15,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,366585,285922,80663,
Chad,2022-01-12,Sinopharm/Beijing,https://africacdc.org/covid-19-vaccination/,381189,285922,95267,
