date,total_vaccinations,people_vaccinated,people_fully_vaccinated,vaccine,location,source_url
2021-01-20,17,17.0,0,Pfizer/BioNTech,Ecuador,https://github.com/andrab/ecuacovid
2021-01-21,3008,3008.0,0,Pfizer/BioNTech,Ecuador,https://github.com/andrab/ecuacovid
2021-01-22,3811,3811.0,0,Pfizer/BioNTech,Ecuador,https://github.com/andrab/ecuacovid
2021-01-23,3848,3848.0,0,Pfizer/BioNTech,Ecuador,https://github.com/andrab/ecuacovid
2021-01-24,3848,3848.0,0,Pfizer/BioNTech,Ecuador,https://github.com/andrab/ecuacovid
2021-01-25,5116,5116.0,0,Pfizer/BioNTech,Ecuador,https://github.com/andrab/ecuacovid
2021-01-26,5876,5876.0,0,Pfizer/BioNTech,Ecuador,https://github.com/andrab/ecuacovid
2021-01-27,6580,6580.0,0,Pfizer/BioNTech,Ecuador,https://github.com/andrab/ecuacovid
2021-01-28,6802,6802.0,0,Pfizer/BioNTech,Ecuador,https://github.com/andrab/ecuacovid
2021-01-29,7091,7091.0,0,"Pfizer/BioNTech, Sinovac",Ecuador,https://github.com/andrab/ecuacovid
2021-01-30,7091,7091.0,0,"Pfizer/BioNTech, Sinovac",Ecuador,https://github.com/andrab/ecuacovid
2021-01-31,7133,7133.0,0,"Pfizer/BioNTech, Sinovac",Ecuador,https://github.com/andrab/ecuacovid
2021-02-01,8521,8521.0,0,"Pfizer/BioNTech, Sinovac",Ecuador,https://github.com/andrab/ecuacovid
2021-02-02,9722,9722.0,0,"Pfizer/BioNTech, Sinovac",Ecuador,https://github.com/andrab/ecuacovid
2021-02-03,12358,12357.0,1,"Pfizer/BioNTech, Sinovac",Ecuador,https://github.com/andrab/ecuacovid
2021-02-04,12467,12425.0,42,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ecuador,https://github.com/andrab/ecuacovid
