location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
Guinea-Bissau,2021-05-12,"Oxford/AstraZeneca, Sinopharm/Beijing",5889,https://covid19.who.int/,5889,0
Guinea-Bissau,2021-06-08,"Oxford/AstraZeneca, Sinopharm/Beijing",18706,https://covid19.who.int/,18706,0
Guinea-Bissau,2021-06-28,"Oxford/AstraZeneca, Sinopharm/Beijing",22883,https://covid19.who.int/,21855,1028
Guinea-Bissau,2021-07-19,"Oxford/AstraZeneca, Sinopharm/Beijing",25225,https://covid19.who.int/,24000,1225
Guinea-Bissau,2021-08-09,"Oxford/AstraZeneca, Sinopharm/Beijing",30471,https://covid19.who.int/,28097,2374
Guinea-Bissau,2021-08-23,"Oxford/AstraZeneca, Sinopharm/Beijing",31090,https://covid19.who.int/,28097,2993
Guinea-Bissau,2021-09-17,"Oxford/AstraZeneca, Sinopharm/Beijing",83294,https://covid19.who.int/,76511,6783
Guinea-Bissau,2021-09-22,"Oxford/AstraZeneca, Sinopharm/Beijing",94715,https://covid19.who.int/,87231,7484
Guinea-Bissau,2021-10-06,"Oxford/AstraZeneca, Sinopharm/Beijing",117768,https://covid19.who.int/,108632,9139
Guinea-Bissau,2021-10-12,"Oxford/AstraZeneca, Sinopharm/Beijing",120641,https://covid19.who.int/,111131,9513
Guinea-Bissau,2021-10-18,"Oxford/AstraZeneca, Sinopharm/Beijing",121501,https://covid19.who.int/,111771,9730
Guinea-Bissau,2021-10-24,"Oxford/AstraZeneca, Sinopharm/Beijing",127936,https://covid19.who.int/,117488,10448
Guinea-Bissau,2021-10-31,"Oxford/AstraZeneca, Sinopharm/Beijing",139369,https://covid19.who.int/,127719,11650
Guinea-Bissau,2021-11-03,"Oxford/AstraZeneca, Sinopharm/Beijing",181713,https://covid19.who.int/,167199,14514
Guinea-Bissau,2021-11-08,"Oxford/AstraZeneca, Sinopharm/Beijing",276355,https://covid19.who.int/,258705,17650
Guinea-Bissau,2021-11-11,"Oxford/AstraZeneca, Sinopharm/Beijing",307424,https://covid19.who.int/,289658,17766
Guinea-Bissau,2021-11-15,"Oxford/AstraZeneca, Sinopharm/Beijing",330839,https://covid19.who.int/,312906,17933
Guinea-Bissau,2021-11-16,"Oxford/AstraZeneca, Sinopharm/Beijing",332497,https://covid19.who.int/,314543,17954
Guinea-Bissau,2021-11-22,"Oxford/AstraZeneca, Sinopharm/Beijing",363573,https://covid19.who.int/,345207,18366
Guinea-Bissau,2021-11-25,"Oxford/AstraZeneca, Sinopharm/Beijing",365089,https://covid19.who.int/,346678,18411
