location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Hong Kong,2021-02-22,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,47,47,0,0
Hong Kong,2021-02-23,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,579,579,0,0
Hong Kong,2021-02-24,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,579,579,0,0
Hong Kong,2021-02-25,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,579,579,0,0
Hong Kong,2021-02-26,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,6645,6645,0,0
Hong Kong,2021-02-27,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,13685,13685,0,0
Hong Kong,2021-02-28,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,20701,20701,0,0
Hong Kong,2021-03-01,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,27109,27109,0,0
Hong Kong,2021-03-02,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,40180,40180,0,0
Hong Kong,2021-03-03,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,51848,51846,2,0
Hong Kong,2021-03-04,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,62238,62236,2,0
Hong Kong,2021-03-05,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,72376,72374,2,0
Hong Kong,2021-03-06,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,84033,84030,3,0
Hong Kong,2021-03-07,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,93026,93022,4,0
Hong Kong,2021-03-08,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,103850,103846,4,0
Hong Kong,2021-03-09,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,113526,113521,5,0
Hong Kong,2021-03-10,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,130548,130542,6,0
Hong Kong,2021-03-11,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,145908,145902,6,0
Hong Kong,2021-03-12,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,162231,162225,6,0
Hong Kong,2021-03-13,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,177112,177105,7,0
Hong Kong,2021-03-14,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,190732,190725,7,0
Hong Kong,2021-03-15,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,206095,206088,7,0
Hong Kong,2021-03-16,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,229422,229415,7,0
Hong Kong,2021-03-17,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,254022,254014,8,0
Hong Kong,2021-03-18,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,276648,276640,8,0
Hong Kong,2021-03-19,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,304252,304244,8,0
Hong Kong,2021-03-20,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,330620,330612,8,0
Hong Kong,2021-03-21,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,354440,354432,8,0
Hong Kong,2021-03-22,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,379694,379643,51,0
Hong Kong,2021-03-23,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,403525,403079,446,0
Hong Kong,2021-03-24,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,413300,412822,478,0
Hong Kong,2021-03-25,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,421520,421014,506,0
Hong Kong,2021-03-26,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,435237,429533,5704,0
Hong Kong,2021-03-27,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,449277,437265,12012,0
Hong Kong,2021-03-28,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,462451,443900,18551,0
Hong Kong,2021-03-29,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,475122,450518,24604,0
Hong Kong,2021-03-30,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,490317,455923,34394,0
Hong Kong,2021-03-31,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,505097,461056,44041,0
Hong Kong,2021-04-01,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,520376,466279,54097,0
Hong Kong,2021-04-02,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,531237,471422,59815,0
Hong Kong,2021-04-03,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,543986,475047,68939,0
Hong Kong,2021-04-04,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,556070,478876,77194,0
Hong Kong,2021-04-05,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,577235,486975,90260,0
Hong Kong,2021-04-06,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,616002,502693,113309,0
Hong Kong,2021-04-07,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,659787,516023,143764,0
Hong Kong,2021-04-08,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,700305,529480,170825,0
Hong Kong,2021-04-09,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,745037,543631,201406,0
Hong Kong,2021-04-10,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,791552,559932,231620,0
Hong Kong,2021-04-11,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,834894,578942,255952,0
Hong Kong,2021-04-12,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,878245,597557,280688,0
Hong Kong,2021-04-13,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,918955,615412,303543,0
Hong Kong,2021-04-14,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,951112,632365,318747,0
Hong Kong,2021-04-15,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,981095,649001,332094,0
Hong Kong,2021-04-16,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1017849,671887,345962,0
Hong Kong,2021-04-17,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1057272,697333,359939,0
Hong Kong,2021-04-18,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1091103,719902,371201,0
Hong Kong,2021-04-19,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1123576,741391,382185,0
Hong Kong,2021-04-20,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1149662,758679,390983,0
Hong Kong,2021-04-21,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1173103,773891,399212,0
Hong Kong,2021-04-22,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1196653,789283,407370,0
Hong Kong,2021-04-23,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1222885,806730,416155,0
Hong Kong,2021-04-24,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1253073,828259,424814,0
Hong Kong,2021-04-25,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1275184,842685,432499,0
Hong Kong,2021-04-26,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1302207,859942,442265,0
Hong Kong,2021-04-27,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1326876,872386,454490,0
Hong Kong,2021-04-28,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1351761,884175,467586,0
Hong Kong,2021-04-29,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1377516,897016,480500,0
Hong Kong,2021-04-30,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1413787,916323,497464,0
Hong Kong,2021-05-01,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1454427,936402,518025,0
Hong Kong,2021-05-02,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,1491945,952152,539793,0
