location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Iran,2021-02-08,Sputnik V,https://twitter.com/FarsNews_Agency/status/1359195194097336322,0,0.0,0.0,
Iran,2021-02-09,Sputnik V,https://twitter.com/FarsNews_Agency/status/1359195194097336322,3000,3000.0,0.0,
Iran,2021-02-17,Sputnik V,https://www.bloomberg.com/news/articles/2021-02-17/iran-vaccine-boasts-total-protection-against-u-k-covid-strain,10000,10000.0,0.0,
Iran,2021-03-19,Sputnik V,https://www.barkhat.news/social/161614986958/distribution-of-595-thousand-doses-of-corona-vaccine,124193,124193.0,0.0,
Iran,2021-03-27,Sputnik V,https://reliefweb.int/report/iran-islamic-republic/covid-19-situation-updates-week-12-21-27-march-2021,319890,,,
Iran,2021-04-14,Sputnik V,https://www.farsnews.ir/news/14000125000625,462642,361951.0,100691.0,
Iran,2021-04-19,Sputnik V,https://www.farsnews.ir/news/14000130000626,550131,416084.0,134047.0,
Iran,2021-04-20,Sputnik V,https://www.farsnews.ir/news/14000131000598/,621822,480646.0,141176.0,
Iran,2021-04-22,"Oxford/AstraZeneca, Sputnik V",https://www.farsnews.ir/news/14000202000387/,667202,518904.0,148298.0,
Iran,2021-04-28,"Oxford/AstraZeneca, Sputnik V",https://www.farsnews.ir/news/14000208000547/,938754,744914.0,193840.0,
Iran,2021-04-29,"Oxford/AstraZeneca, Sputnik V",https://www.farsnews.ir/news/14000209000403/,1002591,798465.0,204126.0,
Iran,2021-04-30,"Oxford/AstraZeneca, Sputnik V",https://www.farsnews.ir/news/14000210000280,1068123,858296.0,209827.0,
Iran,2021-05-04,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.farsnews.ir/news/14000214000305,1314641,1083138.0,231503.0,
Iran,2021-05-07,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.farsnews.ir/news/14000217000358,1485287,1231652.0,253635.0,
Iran,2021-05-10,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,1767570,1475436.0,292134.0,
Iran,2021-05-17,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,2329379,1979167.0,350212.0,
Iran,2021-05-24,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,3141577,2738504.0,403073.0,
Iran,2021-06-08,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,4553653,3915783.0,637870.0,
Iran,2021-06-14,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,4792881,3984095.0,808786.0,
Iran,2021-06-21,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,4968642,4013642.0,955000.0,
Iran,2021-06-29,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,5717914,4076904.0,1641010.0,
Iran,2021-07-13,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,6530124,4390342.0,2139782.0,
Iran,2021-07-19,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,8155411,5866316.0,2289095.0,
Iran,2021-07-26,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,10168674,7741936.0,2426738.0,
Iran,2021-08-02,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,12388974,9615913.0,2773061.0,
Iran,2021-08-09,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,16213714,13061640.0,3152074.0,
Iran,2021-08-16,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,19894523,15513459.0,4381064.0,
Iran,2021-08-24,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,23137699,16986882.0,6150817.0,
Iran,2021-08-29,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,26176126,18261245.0,7914881.0,
