location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Isle of Man,2021-01-21,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/,3558,,,
Isle of Man,2021-01-22,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/,3648,,,
Isle of Man,2021-01-25,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/,4209,3897.0,312.0,
Isle of Man,2021-01-26,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/,4886,4247.0,639.0,
Isle of Man,2021-01-29,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,6859,5829.0,1030.0,
Isle of Man,2021-02-02,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,8302,6883.0,1419.0,
Isle of Man,2021-02-03,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,9563,7387.0,2176.0,
Isle of Man,2021-02-04,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,10213,8030.0,2183.0,
Isle of Man,2021-02-05,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,10224,8041.0,2183.0,
Isle of Man,2021-02-06,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,10852,8669.0,2183.0,
Isle of Man,2021-02-07,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,11247,9063.0,2184.0,
Isle of Man,2021-02-08,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,11654,9466.0,2188.0,
Isle of Man,2021-02-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,12026,9469.0,2557.0,
Isle of Man,2021-02-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,12441,9485.0,2956.0,
Isle of Man,2021-02-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,13497,10170.0,3327.0,
Isle of Man,2021-02-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,13733,10405.0,3328.0,
Isle of Man,2021-02-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,14272,10678.0,3594.0,
Isle of Man,2021-02-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,14806,10949.0,3857.0,
Isle of Man,2021-02-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,15294,11184.0,4110.0,
Isle of Man,2021-02-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,17150,12467.0,4683.0,
Isle of Man,2021-02-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,17180,12468.0,4712.0,
Isle of Man,2021-02-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,17807,13075.0,4732.0,
Isle of Man,2021-02-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,18041,13077.0,4964.0,
Isle of Man,2021-02-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,18323,13122.0,5201.0,
Isle of Man,2021-02-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,18795,13286.0,5509.0,
Isle of Man,2021-02-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,19884,13600.0,6284.0,
Isle of Man,2021-02-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,20831,13883.0,6948.0,
Isle of Man,2021-02-28,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,21452,14123.0,7329.0,
Isle of Man,2021-03-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,21998,14316.0,7682.0,
Isle of Man,2021-03-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,22785,15084.0,7701.0,
Isle of Man,2021-03-03,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,23429,15719.0,7710.0,
Isle of Man,2021-03-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,23438,15727.0,7711.0,
Isle of Man,2021-03-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,23883,15792.0,8091.0,
Isle of Man,2021-03-06,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,24309,15824.0,8485.0,
Isle of Man,2021-03-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,24798,15832.0,8966.0,
Isle of Man,2021-03-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,25086,15833.0,9253.0,
Isle of Man,2021-03-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,26172,16910.0,9262.0,
Isle of Man,2021-03-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,27326,18043.0,9283.0,
Isle of Man,2021-03-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,28431,19138.0,9293.0,
Isle of Man,2021-03-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,29794,19885.0,9909.0,
Isle of Man,2021-03-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,31026,19926.0,11100.0,
Isle of Man,2021-03-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,32027,20690.0,11337.0,
Isle of Man,2021-03-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,32742,21405.0,11337.0,
Isle of Man,2021-03-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,33335,21995.0,11340.0,
Isle of Man,2021-03-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,33336,21996.0,11340.0,
Isle of Man,2021-03-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.facebook.com/iomgovernment/photos/a.201016003920310/722610151760890,47294,32286.0,15008.0,
Isle of Man,2021-03-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,49787,34480.0,15307.0,
Isle of Man,2021-03-31,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,50426,35115.0,15311.0,
Isle of Man,2021-04-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,51602,36290.0,15312.0,
Isle of Man,2021-04-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,52831,37491.0,15340.0,
Isle of Man,2021-04-03,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,54075,38727.0,15348.0,
Isle of Man,2021-04-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,54480,39132.0,15348.0,
Isle of Man,2021-04-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,54923,39575.0,15348.0,
Isle of Man,2021-04-06,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,56040,40692.0,15348.0,
Isle of Man,2021-04-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,57234,41846.0,15388.0,
Isle of Man,2021-04-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,58497,43094.0,15403.0,
Isle of Man,2021-04-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,59758,44343.0,15415.0,
