location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Madagascar,2021-05-12,Oxford/AstraZeneca,https://covid19.who.int/,609,609,0
Madagascar,2021-05-18,Oxford/AstraZeneca,https://covid19.who.int/,3890,3890,0
Madagascar,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,13539,13539,0
Madagascar,2021-05-24,Oxford/AstraZeneca,https://covid19.who.int/,17258,17258,0
Madagascar,2021-05-26,Oxford/AstraZeneca,https://covid19.who.int/,21912,21912,0
Madagascar,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,36640,36640,0
Madagascar,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,78539,78539,0
Madagascar,2021-06-10,Oxford/AstraZeneca,https://covid19.who.int/,97300,97300,0
Madagascar,2021-06-14,Oxford/AstraZeneca,https://covid19.who.int/,136785,136785,0
Madagascar,2021-06-15,Oxford/AstraZeneca,https://covid19.who.int/,150329,150329,0
Madagascar,2021-06-20,Oxford/AstraZeneca,https://covid19.who.int/,188752,188752,0
Madagascar,2021-06-24,Oxford/AstraZeneca,https://covid19.who.int/,196291,196291,0
Madagascar,2021-06-28,Oxford/AstraZeneca,https://covid19.who.int/,197001,197001,0
Madagascar,2021-09-06,Oxford/AstraZeneca,https://covid19.who.int/,283091,,
Madagascar,2021-09-20,Oxford/AstraZeneca,https://covid19.who.int/,381633,197001,184632
Madagascar,2021-10-20,Oxford/AstraZeneca,https://africacdc.org/covid-19-vaccination/,566265,381633,184632
Madagascar,2021-11-18,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,606819,455028,406159
Madagascar,2021-11-22,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,625884,473726,425211
Madagascar,2021-11-29,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,685440,532674,484570
Madagascar,2021-12-06,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,742069,589003,541160
Madagascar,2022-01-05,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,971426,817386,767113
