location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Myanmar,2021-01-26,Oxford/AstraZeneca,https://www.mohs.gov.mm/page/13899,0,0,0
Myanmar,2021-01-27,Oxford/AstraZeneca,https://www.mohs.gov.mm/page/13899,3800,3800,0
Myanmar,2021-02-05,Oxford/AstraZeneca,https://www.mmtimes.com/news/more-380000-myanmar-receive-covid-19-vaccine.html,380000,380000,0
Myanmar,2021-03-31,Oxford/AstraZeneca,https://www.frontiermyanmar.net/en/anti-military-defiance-slows-covid-19-vaccination-to-a-trickle/,1040000,1000000,40000
Myanmar,2021-04-23,Oxford/AstraZeneca,https://www.aljazeera.com/news/2021/5/10/ethnic-groups-step-in-as-myanmars-covid-response-falls-apart,1800000,1500000,300000
Myanmar,2021-05-04,Oxford/AstraZeneca,https://covid19.who.int/,2543762,1689551,854211
Myanmar,2021-05-13,Oxford/AstraZeneca,https://covid19.who.int/,2994900,1772177,1222723
Myanmar,2021-06-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,3368042,1840758,1527284
Myanmar,2021-07-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.nytimes.com/2021/07/01/world/asia/covid-myanmar-coup.html,3500000,,
Myanmar,2021-08-21,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://www.mohs.gov.mm/page/15427,6253687,4456857,1796830
Myanmar,2021-09-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,8184418,4944654,3239764
Myanmar,2021-09-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.who.int/southeastasia/health-topics/immunization/covid-19-vaccination,9001616,5530365,3471251
Myanmar,2021-09-25,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,10935671,7205913,3729758
Myanmar,2021-10-02,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,12263702,8390746,3872956
Myanmar,2021-10-17,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,15797703,11223285,4574418
Myanmar,2021-10-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,18089109,12387573,5701536
Myanmar,2021-10-31,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,20299011,13244996,7054015
Myanmar,2021-11-06,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,22152983,13905795,8247188
Myanmar,2021-11-13,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,24253764,14692607,9561157
Myanmar,2021-11-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,25869175,15390873,10478302
Myanmar,2021-11-27,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,28100411,16485315,11615096
Myanmar,2021-11-30,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,28707770,16849172,11858598
Myanmar,2021-12-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,31859036,18829259,13029777
Myanmar,2022-01-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,36388358,20816441,15571917
Myanmar,2022-01-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,37610466,21017026,16593440
