date,people_vaccinated,people_fully_vaccinated,total_boosters,vaccine,total_vaccinations,location,source_url
2021-02-08,5.0,2.0,0.0,Sinopharm/Beijing,7.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-09,3850.0,5.0,0.0,Sinopharm/Beijing,3855.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-10,20430.0,22.0,0.0,Sinopharm/Beijing,20452.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-11,54556.0,24.0,0.0,Sinopharm/Beijing,54580.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-12,86934.0,24.0,0.0,Sinopharm/Beijing,86958.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-13,105804.0,25.0,1.0,Sinopharm/Beijing,105830.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-14,111104.0,25.0,1.0,Sinopharm/Beijing,111130.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-15,122590.0,25.0,1.0,Sinopharm/Beijing,122616.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-16,130109.0,26.0,1.0,Sinopharm/Beijing,130136.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-17,134060.0,26.0,1.0,Sinopharm/Beijing,134087.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-18,141462.0,27.0,1.0,Sinopharm/Beijing,141490.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-19,171992.0,27.0,1.0,Sinopharm/Beijing,172020.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-20,198115.0,27.0,1.0,Sinopharm/Beijing,198143.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-21,202675.0,27.0,1.0,Sinopharm/Beijing,202703.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-22,233179.0,35.0,1.0,Sinopharm/Beijing,233215.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-23,260569.0,36.0,1.0,Sinopharm/Beijing,260606.0,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
