date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,source_url,total_boosters,vaccine
2020-12-27,4963.0,4963.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2020-12-28,7754.0,7754.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2020-12-29,20368.0,20368.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2020-12-30,30543.0,30543.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2020-12-31,32749.0,32749.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-01,32749.0,32749.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-02,32750.0,32750.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-03,32750.0,32750.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-04,33670.0,33670.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-05,46433.0,46433.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-06,61454.0,61454.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-07,71751.0,71751.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-08,74254.0,74254.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-09,74352.0,74352.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-10,74392.0,74392.0,0.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-11,85210.0,85089.0,138.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
2021-01-12,96092.0,95971.0,138.0,Portugal,https://github.com/dssg-pt/covid19pt-data,,Pfizer/BioNTech
