date,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations,location,source_url,vaccine
2020-12-30,119.0,0.0,,119.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2020-12-31,124.0,0.0,,124.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-01,130.0,0.0,,130.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-02,134.0,0.0,,134.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-03,142.0,0.0,,142.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-04,164.0,0.0,,164.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-05,175.0,2.0,,177.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-06,187.0,3.0,,190.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-07,200.0,4.0,,204.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-08,926.0,7.0,,933.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-09,1326.0,9.0,,1335.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-10,1436.0,9.0,,1445.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-11,3523.0,11.0,,3534.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-12,6335.0,13.0,,6348.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-13,10431.0,14.0,,10445.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-14,15231.0,15.0,,15246.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-15,20606.0,18.0,,20624.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-16,22347.0,20.0,,22367.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-17,22989.0,23.0,,23012.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-18,30526.0,23.0,,30549.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-19,38773.0,32.0,,38805.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-20,47979.0,72.0,,48051.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-21,55470.0,75.0,,55545.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-22,63260.0,77.0,,63337.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-23,68043.0,80.0,,68123.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-24,72545.0,81.0,,72626.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-25,84602.0,97.0,,84699.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-26,97250.0,106.0,,97356.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-27,111162.0,113.0,,111275.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-28,125719.0,131.0,,125850.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-29,139765.0,859.0,,140624.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-30,146926.0,1188.0,,148114.0,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
