location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url,total_boosters
Suriname,2021-02-22,Oxford/AstraZeneca,0,0,0,https://www.reuters.com/article/us-health-coronavirus-suriname-vaccine-idUSKBN2AN2AT,
Suriname,2021-03-19,Oxford/AstraZeneca,9196,9196,0,https://laatjevaccineren.sr/,
Suriname,2021-03-20,Oxford/AstraZeneca,11879,11879,0,https://laatjevaccineren.sr/,
Suriname,2021-03-22,Oxford/AstraZeneca,13749,13749,0,https://laatjevaccineren.sr/,
Suriname,2021-03-23,Oxford/AstraZeneca,14716,14716,0,https://laatjevaccineren.sr/,
Suriname,2021-03-24,Oxford/AstraZeneca,15998,15998,0,https://laatjevaccineren.sr/,
Suriname,2021-03-26,Oxford/AstraZeneca,19983,19983,0,https://laatjevaccineren.sr/,
Suriname,2021-03-27,Oxford/AstraZeneca,22377,22377,0,https://laatjevaccineren.sr/,
Suriname,2021-03-28,Oxford/AstraZeneca,23304,23304,0,https://laatjevaccineren.sr/,
Suriname,2021-03-30,Oxford/AstraZeneca,24528,24528,0,https://laatjevaccineren.sr/,
Suriname,2021-03-31,Oxford/AstraZeneca,26057,26057,0,https://laatjevaccineren.sr/,
Suriname,2021-04-02,Oxford/AstraZeneca,27760,27760,0,https://laatjevaccineren.sr/,
Suriname,2021-04-07,Oxford/AstraZeneca,30037,30037,0,https://laatjevaccineren.sr/,
Suriname,2021-04-09,Oxford/AstraZeneca,32614,32614,0,https://laatjevaccineren.sr/,
Suriname,2021-04-12,Oxford/AstraZeneca,33038,33038,0,https://laatjevaccineren.sr/,
Suriname,2021-04-13,Oxford/AstraZeneca,33640,33640,0,https://laatjevaccineren.sr/,
Suriname,2021-04-16,Oxford/AstraZeneca,34630,34630,0,https://laatjevaccineren.sr/,
Suriname,2021-04-21,Oxford/AstraZeneca,35424,35424,0,https://laatjevaccineren.sr/,
Suriname,2021-04-22,Oxford/AstraZeneca,35777,35777,0,https://laatjevaccineren.sr/,
Suriname,2021-04-24,Oxford/AstraZeneca,36503,36503,0,https://laatjevaccineren.sr/,
Suriname,2021-04-27,Oxford/AstraZeneca,37158,37158,0,https://laatjevaccineren.sr/,
