location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Trinidad and Tobago,2021-02-15,Oxford/AstraZeneca,https://www.looptt.com/content/health-ministry-give-1st-batch-covid-19-vaccines-staff,0.0,0.0,,
Trinidad and Tobago,2021-02-22,Oxford/AstraZeneca,https://trinidadexpress.com/newsextra/no-vaccine-for-children-pregnant-breast-feeding/article_4bf5c4ba-752d-11eb-9b08-c74c78f65525.html,440.0,440.0,,
Trinidad and Tobago,2021-02-27,Oxford/AstraZeneca,https://www.looptt.com/content/100800-vaccines-approved-tt-deyalsingh-announces,991.0,991.0,,
Trinidad and Tobago,2021-04-08,Oxford/AstraZeneca,https://health.gov.tt/covid-19-update-thursday-8th-april-2021,4777.0,4777.0,,
Trinidad and Tobago,2021-04-15,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,13087.0,13087.0,,
Trinidad and Tobago,2021-04-16,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,15425.0,15425.0,,
Trinidad and Tobago,2021-04-17,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,16414.0,16414.0,,
Trinidad and Tobago,2021-04-18,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,16462.0,16462.0,,
Trinidad and Tobago,2021-04-19,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,17695.0,17695.0,,
Trinidad and Tobago,2021-04-20,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,19475.0,19475.0,,
Trinidad and Tobago,2021-04-21,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,21231.0,21231.0,,
Trinidad and Tobago,2021-04-22,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,24086.0,24086.0,0.0,
Trinidad and Tobago,2021-04-23,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,27697.0,27697.0,0.0,
Trinidad and Tobago,2021-04-24,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,30808.0,30808.0,0.0,
Trinidad and Tobago,2021-04-25,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,34353.0,34353.0,0.0,
Trinidad and Tobago,2021-04-26,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,41549.0,41549.0,0.0,
Trinidad and Tobago,2021-04-27,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,41669.0,41669.0,0.0,
Trinidad and Tobago,2021-04-28,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,42082.0,42082.0,0.0,
Trinidad and Tobago,2021-04-29,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,42154.0,42154.0,0.0,
Trinidad and Tobago,2021-04-30,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,42455.0,42455.0,0.0,
Trinidad and Tobago,2021-05-01,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,42455.0,42455.0,0.0,
Trinidad and Tobago,2021-05-02,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,42455.0,42455.0,0.0,
Trinidad and Tobago,2021-05-03,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,44810.0,44810.0,0.0,
Trinidad and Tobago,2021-05-04,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,51479.0,51283.0,196.0,
Trinidad and Tobago,2021-05-05,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,55547.0,55259.0,288.0,
Trinidad and Tobago,2021-05-06,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,58224.0,57744.0,480.0,
Trinidad and Tobago,2021-05-07,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,59586.0,58981.0,605.0,
Trinidad and Tobago,2021-05-08,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,60732.0,59786.0,946.0,
Trinidad and Tobago,2021-05-09,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,61120.0,60174.0,946.0,
Trinidad and Tobago,2021-05-10,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,61345.0,60245.0,1100.0,
Trinidad and Tobago,2021-05-11,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,61666.0,60487.0,1179.0,
Trinidad and Tobago,2021-05-12,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,61764.0,60585.0,1179.0,
Trinidad and Tobago,2021-05-13,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,61824.0,60645.0,1179.0,
Trinidad and Tobago,2021-05-14,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,61848.0,60669.0,1179.0,
Trinidad and Tobago,2021-05-15,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,61850.0,60671.0,1179.0,
Trinidad and Tobago,2021-05-16,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,61850.0,60671.0,1179.0,
Trinidad and Tobago,2021-05-17,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,61850.0,60671.0,1179.0,
Trinidad and Tobago,2021-05-18,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,62985.0,61806.0,1179.0,
Trinidad and Tobago,2021-05-19,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,62985.0,61806.0,1179.0,
Trinidad and Tobago,2021-05-20,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,62985.0,61806.0,1179.0,
Trinidad and Tobago,2021-05-21,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,63539.0,62360.0,1179.0,
Trinidad and Tobago,2021-05-22,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,65818.0,64639.0,1179.0,
Trinidad and Tobago,2021-05-23,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,67478.0,66299.0,1179.0,
Trinidad and Tobago,2021-05-24,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,68503.0,67324.0,1179.0,
Trinidad and Tobago,2021-05-25,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,73299.0,72120.0,1179.0,
