location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Yemen,2021-05-09,Oxford/AstraZeneca,https://covid19.who.int/,18555,18555,0,
Yemen,2021-05-29,Oxford/AstraZeneca,https://covid19.who.int/,104070,104070,0,
Yemen,2021-06-07,Oxford/AstraZeneca,https://covid19.who.int/,196234,196234,0,
Yemen,2021-06-10,Oxford/AstraZeneca,https://covid19.who.int/,221380,221380,0,
Yemen,2021-06-16,Oxford/AstraZeneca,https://covid19.who.int/,235855,235855,0,
Yemen,2021-06-20,Oxford/AstraZeneca,https://covid19.who.int/,251385,251385,0,
Yemen,2021-06-27,Oxford/AstraZeneca,https://covid19.who.int/,268753,268753,0,
Yemen,2021-07-12,Oxford/AstraZeneca,https://covid19.who.int/,297405,288828,8577,
Yemen,2021-07-27,Oxford/AstraZeneca,https://covid19.who.int/,311483,298161,13322,
Yemen,2021-09-12,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,322934,308025,14909,
Yemen,2021-10-11,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,460159,319710,143761,
Yemen,2021-10-28,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,534590,327016,192413,
Yemen,2021-11-01,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,547019,331778,215241,
Yemen,2021-11-14,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,746557,527869,344333,
Yemen,2021-11-17,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,754397,534259,349292,
Yemen,2021-11-21,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,759220,537397,353822,
Yemen,2021-11-28,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,774953,548933,361351,
Yemen,2021-12-02,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,786027,556652,366587,
